#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.883047    0.883047           0
           2     0.83057    0.856808   0.0185532
           3    0.865449    0.859689   0.0125904
           4    0.837314    0.854095   0.0106128
           5    0.849015    0.853079  0.00853873
           6    0.839755    0.850858  0.00739877
           7    0.841722    0.849553   0.0064559
           8    0.861186    0.851007  0.00581038
           9    0.835145    0.849245  0.00542551
          10    0.831906    0.847511  0.00515257
          11    0.846458    0.847415  0.00468504
          12    0.828248    0.845818  0.00455879
          13     0.84679    0.845893  0.00420873
          14    0.844493    0.845793  0.00390929
          15    0.845985    0.845806  0.00364869
          16    0.839963     0.84544  0.00343887
          17    0.837884    0.844996  0.00326519
          18    0.836904    0.844546  0.00311458
          19    0.829299    0.843744  0.00305229
          20    0.825129    0.842813  0.00303827
