# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
blocco numero 1
   0.0699206   0.0110575   0.0110575           0
    0.209762   0.0782303   0.0782303           0
    0.349603    0.212046    0.212046           0
    0.489444    0.358972    0.358972           0
    0.629285    0.542646    0.542646           0
    0.769126    0.619022    0.619022           0
    0.908968    0.718209    0.718209           0
     1.04881    0.780979    0.780979           0
     1.18865    0.695001    0.695001           0
     1.32849     0.69914     0.69914           0
     1.46833    0.586611    0.586611           0
     1.60817    0.481664    0.481664           0
     1.74801    0.409128    0.409128           0
     1.88786    0.322092    0.322092           0
      2.0277    0.222276    0.222276           0
     2.16754    0.141232    0.141232           0
     2.30738   0.0997825   0.0997825           0
     2.44722   0.0613792   0.0613792           0
     2.58706   0.0471103   0.0471103           0
      2.7269   0.0267499   0.0267499           0
     2.86674   0.0160235   0.0160235           0
     3.00659  0.00857454  0.00857454           0
     3.14643  0.00489974  0.00489974           0
     3.28627   0.0015891   0.0015891           0
     3.42611 0.000794552 0.000794552           0
     3.56595  0.00125804  0.00125804           0
     3.70579  0.00119183  0.00119183           0
     3.84563  0.00139047  0.00139047           0
     3.98547  9.9319e-05  9.9319e-05           0
     4.12531 0.000132425 0.000132425           0
blocco numero 2
   0.0699206   0.0148979   0.0129777  0.00135776
    0.209762   0.0794883   0.0788593 0.000444785
    0.349603    0.187713     0.19988  0.00860307
    0.489444    0.355231    0.357102  0.00132265
    0.629285    0.545394     0.54402 0.000971503
    0.769126    0.674509    0.646765   0.0196173
    0.908968    0.769027    0.743618    0.017967
     1.04881    0.802696    0.791837  0.00767839
     1.18865    0.778893    0.736947   0.0296601
     1.32849    0.716918    0.708029  0.00628551
     1.46833    0.556716    0.571664   0.0105695
     1.60817    0.479777    0.480721 0.000667177
     1.74801    0.379432     0.39428   0.0104993
     1.88786    0.290409     0.30625   0.0112015
      2.0277    0.188938    0.205607   0.0117868
     2.16754    0.132889     0.13706  0.00294962
     2.30738    0.077535   0.0886588  0.00786567
     2.44722   0.0454881   0.0534336  0.00561833
     2.58706   0.0339009   0.0405056  0.00467024
      2.7269   0.0203273   0.0235386  0.00227074
     2.86674  0.00936909   0.0126963  0.00235268
     3.00659   0.0088725  0.00872352 0.000105344
     3.14643  0.00254919  0.00372446 0.000831045
     3.28627           0 0.000794552 0.000561833
     3.42611           0 0.000397276 0.000280917
     3.56595           0  0.00062902 0.000444785
     3.70579           0 0.000595914 0.000421375
     3.84563           0 0.000695233 0.000491604
     3.98547           0 4.96595e-05 3.51146e-05
     4.12531           0 6.62127e-05 4.68194e-05
blocco numero 3
   0.0699206  0.00827658   0.0114107  0.00156729
    0.209762   0.0795545    0.079091 0.000351752
    0.349603    0.201088    0.200282   0.0057448
    0.489444    0.344174    0.352792  0.00362737
    0.629285     0.47054    0.519527   0.0200091
    0.769126    0.619453    0.637661   0.0150432
    0.908968    0.755288    0.747508   0.0123919
     1.04881    0.756215    0.779963   0.0109636
     1.18865    0.736682    0.736859   0.0197735
     1.32849    0.695432     0.70383  0.00541417
     1.46833      0.6223    0.588542   0.0154783
     1.60817    0.553339    0.504927   0.0197693
     1.74801    0.432733    0.407098   0.0125905
     1.88786    0.325237    0.312579  0.00908126
      2.0277    0.221018    0.210744  0.00890722
     2.16754    0.141761    0.138627  0.00234603
     2.30738   0.0772371   0.0848515  0.00609594
     2.44722   0.0489643   0.0519438  0.00393812
     2.58706   0.0250615   0.0353576  0.00523087
      2.7269   0.0169504   0.0213426  0.00234665
     2.86674   0.0125473   0.0126466  0.00156898
     3.00659  0.00440314  0.00728339  0.00117795
     3.14643  0.00271472  0.00338788 0.000618445
     3.28627           0 0.000529701 0.000432499
     3.42611           0 0.000264851  0.00021625
     3.56595           0 0.000419347 0.000342395
     3.70579           0 0.000397276 0.000324375
     3.84563           0 0.000463489 0.000378437
     3.98547           0 3.31063e-05 2.70312e-05
     4.12531           0 4.41418e-05 3.60416e-05
blocco numero 4
   0.0699206  0.00549565   0.0099319  0.00173832
    0.209762    0.063829   0.0752755  0.00331484
    0.349603    0.199002    0.199962  0.00431751
    0.489444     0.36748    0.356464    0.004185
    0.629285    0.525166    0.520937   0.0150564
    0.769126     0.64799    0.640244   0.0115019
    0.908968    0.762406    0.751233  0.00983774
     1.04881    0.817693    0.789396   0.0115906
     1.18865    0.794651    0.751307   0.0194035
     1.32849     0.65832    0.692452   0.0106572
     1.46833    0.600648    0.591569   0.0119009
     1.60817    0.501892    0.504168   0.0148415
     1.74801    0.386219    0.401878   0.0104691
     1.88786    0.276306    0.303511   0.0103955
      2.0277    0.210457    0.210672   0.0066807
     2.16754    0.136531    0.138103  0.00181714
     2.30738   0.0880629   0.0856544  0.00462452
     2.44722   0.0493284     0.05129  0.00300738
     2.58706   0.0283059   0.0335947  0.00420975
      2.7269   0.0140371   0.0195162  0.00236628
     2.86674  0.00960084   0.0118852  0.00134891
     3.00659  0.00662127  0.00711786  0.00089502
     3.14643 0.000926978  0.00277266 0.000706413
     3.28627           0 0.000397276 0.000344051
     3.42611           0 0.000198638 0.000172026
     3.56595           0  0.00031451 0.000272374
     3.70579           0 0.000297957 0.000258038
     3.84563           0 0.000347617 0.000301045
     3.98547           0 2.48298e-05 2.15032e-05
     4.12531           0 3.31063e-05 2.86709e-05
blocco numero 5
   0.0699206  0.00850833  0.00964719  0.00141378
    0.209762     0.07876   0.0759724  0.00272414
    0.349603    0.196155    0.199201  0.00352051
    0.489444    0.346027    0.354377  0.00383337
    0.629285    0.555226    0.527795    0.013517
    0.769126    0.692552    0.650705   0.0131234
    0.908968    0.766081    0.754202  0.00830632
     1.04881    0.758069     0.78313   0.0108343
     1.18865    0.765584    0.754162   0.0157315
     1.32849    0.678051    0.689572  0.00890644
     1.46833    0.564993    0.586254   0.0106417
     1.60817    0.494211    0.502177   0.0120061
     1.74801    0.369467    0.395396   0.0101863
     1.88786    0.298354    0.302479  0.00836736
      2.0277    0.208868    0.210311   0.0053543
     2.16754    0.142357    0.138954  0.00164086
     2.30738   0.0896189   0.0864473  0.00376698
     2.44722   0.0471434   0.0504607  0.00251766
     2.58706   0.0322456   0.0333248  0.00337644
      2.7269   0.0264851     0.02091  0.00226663
     2.86674   0.0146661   0.0124414  0.00118827
     3.00659   0.0108589  0.00786607 0.000980064
     3.14643  0.00274783  0.00276769 0.000565148
     3.28627  0.00393965  0.00110575 0.000690875
     3.42611           0  0.00015891 0.000142134
     3.56595           0 0.000251608 0.000225045
     3.70579           0 0.000238366 0.000213201
     3.84563           0 0.000278093 0.000248734
     3.98547           0 1.98638e-05 1.77667e-05
     4.12531           0 2.64851e-05  2.3689e-05
blocco numero 6
   0.0699206  0.00824348  0.00941324  0.00119735
    0.209762   0.0711455   0.0751679  0.00238595
    0.349603    0.184634    0.196773  0.00367679
    0.489444    0.336394     0.35138  0.00420604
    0.629285     0.52073    0.526617   0.0113154
    0.769126    0.655075    0.651433   0.0109564
    0.908968    0.764094    0.755851  0.00708367
     1.04881    0.833088    0.791457    0.011802
     1.18865    0.774026    0.757473   0.0134534
     1.32849    0.719003    0.694477  0.00866821
     1.46833    0.604886    0.589359  0.00931016
     1.60817    0.517882    0.504794   0.0102865
     1.74801     0.37877    0.392625  0.00885749
     1.88786    0.283622    0.299336  0.00753999
      2.0277     0.16573    0.202881  0.00811879
     2.16754    0.119017    0.135631  0.00332722
     2.30738   0.0810774   0.0855523  0.00324372
     2.44722   0.0552214   0.0512541  0.00221956
     2.58706   0.0328084   0.0332388   0.0028148
      2.7269   0.0222806   0.0211384  0.00190034
     2.86674   0.0117859   0.0123321 0.000995234
     3.00659  0.00559497  0.00748755 0.000886807
     3.14643  0.00400587  0.00297405 0.000507236
     3.28627 0.000496595  0.00100423 0.000583141
     3.42611 0.000728339 0.000253815 0.000146748
     3.56595  0.00062902  0.00031451 0.000196132
     3.70579           0 0.000198638 0.000181331
     3.84563           0 0.000231744 0.000211553
