#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.58651    -5.58651           0
           2    -5.53004    -5.55827   0.0199644
           3    -5.56809    -5.56155   0.0135755
           4    -5.53961    -5.55606   0.0112349
           5     -5.5505    -5.55495  0.00904285
           6    -5.54153    -5.55271  0.00780734
           7    -5.54282     -5.5513  0.00681872
           8    -5.56205    -5.55264  0.00609732
           9    -5.53685    -5.55089  0.00566675
          10    -5.53147    -5.54895  0.00542245
          11    -5.54686    -5.54876  0.00493282
          12    -5.52915    -5.54712   0.0047846
          13    -5.54905    -5.54727  0.00441885
          14    -5.54567    -5.54716   0.0041047
          15    -5.54798    -5.54721  0.00383142
          16    -5.54319    -5.54696  0.00360017
          17     -5.5385    -5.54646   0.0034226
          18    -5.53753    -5.54597  0.00326825
          19    -5.53148     -5.5452  0.00318394
          20     -5.5257    -5.54423  0.00317055
