#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70346    -4.70346           0
           2    -4.69947    -4.70146  0.00141128
           3    -4.70264    -4.70186 0.000994308
           4    -4.70229    -4.70197 0.000751718
           5    -4.70148    -4.70187 0.000607608
           6    -4.70178    -4.70185 0.000506539
           7     -4.7011    -4.70175 0.000445548
           8    -4.70086    -4.70164  0.00040334
           9     -4.7017    -4.70164 0.000358597
          10    -4.69957    -4.70144 0.000378058
          11     -4.7004    -4.70134 0.000355239
          12    -4.70091     -4.7013 0.000327479
          13    -4.70226    -4.70138 0.000310439
          14    -4.70117    -4.70136 0.000288606
          15    -4.70199    -4.70141 0.000272394
          16    -4.70323    -4.70152 0.000278259
          17    -4.70062    -4.70147 0.000266896
          18    -4.70063    -4.70142 0.000256131
          19    -4.70218    -4.70146 0.000245755
          20    -4.70057    -4.70142 0.000237441
