#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.88769     3.88769           0
           2     2.75779     3.32274     0.39948
           3     2.59516     3.08021    0.331873
           4     2.44204     2.92067    0.284682
           5     2.40216     2.81697    0.245909
           6     2.30637     2.73187    0.219155
           7     2.15657     2.64968    0.202672
           8     2.10198     2.58122    0.188548
           9     2.11362     2.52926     0.17461
          10     2.06516     2.48285      0.1632
          11     2.04481     2.44303    0.153145
          12     2.10211     2.41462    0.142994
          13     2.01694     2.38403    0.135227
          14     2.00475     2.35694    0.128253
          15     1.95667     2.33025    0.122447
          16     1.97676     2.30816     0.11677
          17     2.08324     2.29493    0.110649
          18     2.00777     2.27898    0.105645
          19      1.9856     2.26354    0.101207
          20     2.01892     2.25131    0.096883
