# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
#blocco numero 1
   0.0942809   0.0136265   0.0136265           0
    0.282843   0.0946737   0.0946737           0
    0.471405    0.446901    0.446901           0
    0.659966    0.305431    0.305431           0
    0.848528     0.31972     0.31972           0
     1.03709    0.335507    0.335507           0
     1.22565    0.355297    0.355297           0
     1.41421    0.365952    0.365952           0
     1.60278    0.375012    0.375012           0
     1.79134     0.38557     0.38557           0
      1.9799    0.358587    0.358587           0
     2.16846    0.338797    0.338797           0
     2.35702    0.255344    0.255344           0
     2.54558     0.17383     0.17383           0
     2.73415    0.168724    0.168724           0
     2.92271    0.131772    0.131772           0
     3.11127   0.0998788   0.0998788           0
     3.29983   0.0785674   0.0785674           0
     3.48839   0.0539414   0.0539414           0
     3.67696   0.0399466   0.0399466           0
     3.86552   0.0339313   0.0339313           0
     4.05408   0.0271303   0.0271303           0
     4.24264   0.0316725   0.0316725           0
      4.4312   0.0247733   0.0247733           0
     4.61976   0.0161554   0.0161554           0
     4.80833    0.018537    0.018537           0
     4.99689   0.0301011   0.0301011           0
     5.18545   0.0171866   0.0171866           0
     5.37401   0.0209677   0.0209677           0
     5.56257  0.00766032  0.00766032           0
#blocco numero 2
   0.0942809  0.00977182   0.0116992  0.00136285
    0.282843    0.102039   0.0983566  0.00260417
    0.471405    0.133835    0.290368    0.110686
    0.659966    0.248666    0.277048   0.0200694
    0.848528    0.388712    0.354216   0.0243924
     1.03709    0.476978    0.406243   0.0500174
     1.22565    0.471012    0.413154   0.0409115
     1.41421    0.444299    0.405126   0.0276997
     1.60278    0.433496    0.404254   0.0206771
     1.79134    0.437817    0.411693   0.0184722
      1.9799    0.377345    0.367966  0.00663194
     2.16846    0.316872    0.327835  0.00775174
     2.35702    0.237445    0.246395  0.00632813
     2.54558     0.22323     0.19853   0.0174653
     2.73415    0.158264    0.163494  0.00369792
     2.92271   0.0721347    0.101954   0.0210851
     3.11127    0.057968   0.0789234   0.0148177
     3.29983   0.0543588   0.0664631  0.00855903
     3.48839   0.0232756   0.0386085    0.010842
     3.67696   0.0221707   0.0310587  0.00628472
     3.86552   0.0756457   0.0547885   0.0147483
     4.05408   0.0786165   0.0528734   0.0182031
     4.24264   0.0227354    0.027204  0.00315972
      4.4312   0.0221462   0.0234597 0.000928819
     4.61976   0.0578453   0.0370003   0.0147396
     4.80833    0.082373    0.050455   0.0225694
     4.99689    0.145718   0.0879096   0.0408767
     5.18545   0.0125708   0.0148787  0.00163194
     5.37401 0.000220971   0.0105943  0.00733507
     5.56257 0.000196419  0.00392837  0.00263889
#blocco numero 3
   0.0942809  0.00157135  0.00832324  0.00290232
    0.282843   0.0618964   0.0862032   0.0100739
    0.471405      0.1097    0.230145   0.0886729
    0.659966    0.307076    0.287058   0.0156781
    0.848528    0.308377    0.338937    0.020496
     1.03709    0.389424    0.400637   0.0336576
     1.22565    0.489794    0.438701   0.0343362
     1.41421    0.381813    0.397355    0.019526
     1.60278    0.408845    0.405784   0.0138412
     1.79134    0.431753     0.41838   0.0134707
