#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -2.29784    -2.29784           0
           2    -1.16321    -1.73052    0.401155
           3   -0.999761    -1.48694    0.333285
           4   -0.846292    -1.32677    0.285868
           5   -0.806254    -1.22267    0.246924
           6   -0.710238    -1.13727    0.220045
           7   -0.560069    -1.05481    0.203473
           8   -0.505453   -0.986139    0.189272
           9   -0.517123   -0.934026    0.175269
          10     -0.4684   -0.887464    0.163811
          11   -0.448061   -0.847518    0.153712
          12   -0.505207   -0.818992    0.143525
          13   -0.420051   -0.788304    0.135726
          14   -0.407782   -0.761124    0.128724
          15   -0.359804   -0.734369    0.122891
          16   -0.379968   -0.712219     0.11719
          17   -0.486526   -0.698943    0.111046
          18    -0.41088    -0.68294    0.106024
          19   -0.388805   -0.667459    0.101567
          20   -0.422056   -0.655189   0.0972272
