#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.59179     2.59179           0
           2     1.83853     2.21516     0.26632
           3      1.7301     2.05347    0.221249
           4     1.62803     1.94711    0.189788
           5     1.60144     1.87798     0.16394
           6     1.53758     1.82125    0.146103
           7     1.43771     1.76645    0.135115
           8     1.40132     1.72081    0.125698
           9     1.40908     1.68618    0.116406
          10     1.37677     1.65524      0.1088
          11     1.36321     1.62869    0.102097
          12     1.40141     1.60975   0.0953292
          13     1.34463     1.58935   0.0901512
          14      1.3365     1.57129   0.0855019
          15     1.30445      1.5535   0.0816315
          16     1.31784     1.53877   0.0778469
          17     1.38883     1.52995   0.0737657
          18     1.33851     1.51932   0.0704302
          19     1.32374     1.50902   0.0674714
          20     1.34595     1.50087   0.0645886
