#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.58985     1.58985           0
           2     1.59458     1.59222  0.00167467
           3      1.5954     1.59328  0.00141254
           4     1.59575     1.59389  0.00118694
           5     1.59591      1.5943  0.00101544
           6     1.59614      1.5946 0.000891303
           7      1.5965     1.59487 0.000804104
           8     1.59652     1.59508  0.00072953
           9     1.59649     1.59524 0.000665172
          10     1.59676     1.59539 0.000615828
          11     1.59675     1.59551 0.000572151
          12      1.5969     1.59563 0.000536092
          13     1.59689     1.59573 0.000503555
          14     1.59697     1.59581 0.000475323
          15     1.59687     1.59588 0.000448812
          16     1.59679     1.59594 0.000424343
          17     1.59671     1.59599 0.000401799
          18     1.59689     1.59604 0.000382586
          19      1.5968     1.59608 0.000364535
          20     1.59686     1.59612 0.000348412
