#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.15657     2.15657           0
           2     2.30637     2.23147   0.0529645
           3     2.40216     2.28837   0.0583515
           4     2.44207     2.32679    0.054979
           5     2.59405     2.38024   0.0649627
           6     2.72326     2.43741   0.0751946
           7     2.89287     2.50248     0.08822
           8     2.49311     2.50131   0.0772003
           9      2.3498     2.48447    0.070434
          10     2.29801     2.46583   0.0658125
          11     2.20395     2.44202   0.0639907
          12     2.14864     2.41757   0.0631562
          13     2.04884     2.38921   0.0643528
