#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.560161   -0.560161           0
           2   -0.710364   -0.635263   0.0531049
           3   -0.806271   -0.692265   0.0584773
           4   -0.846348   -0.730786   0.0551035
           5   -0.998906    -0.78441   0.0651439
           6    -1.12884   -0.841815   0.0754531
           7    -1.29969   -0.907226   0.0886006
           8   -0.897945   -0.906066   0.0775331
           9   -0.754096    -0.88918   0.0707332
          10   -0.702186   -0.870481   0.0660854
          11   -0.607805   -0.846601   0.0642473
          12   -0.552188   -0.822067   0.0634051
          13   -0.452051   -0.793604   0.0646012
