#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.43771     1.43771           0
           2     1.53758     1.48765   0.0353097
           3     1.60144     1.52558    0.038901
           4     1.62805      1.5512   0.0366527
           5     1.72937     1.58683   0.0433085
           6     1.81551     1.62494   0.0501298
           7     1.92858     1.66832   0.0588134
           8     1.66207     1.66754   0.0514669
           9     1.56653     1.65632    0.046956
          10       1.532     1.64388    0.043875
          11      1.4693     1.62801   0.0426605
          12     1.43242     1.61171   0.0421041
          13     1.36589      1.5928   0.0429019
