#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59641     1.59641           0
           2     1.59601     1.59621 0.000140358
           3     1.59589      1.5961 0.000127737
           4     1.59572     1.59601 0.000125873
           5     1.59514     1.59583 0.000184471
           6     1.59442      1.5956 0.000264941
           7     1.59318     1.59525 0.000392611
           8     1.59516     1.59524 0.000343693
           9     1.59571     1.59529 0.000309351
          10     1.59582     1.59535  0.00028289
          11     1.59615     1.59542 0.000266411
          12     1.59645      1.5955  0.00025766
          13     1.59679      1.5956 0.000256111
