#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
                   1             0.85506             0.85506                   0
                   2             0.97164             0.91335           0.0412173
                   3             0.89496             0.90722           0.0279303
                   4             0.69794              0.8549           0.0499184
                   5             0.93732            0.871384           0.0425694
                   6             0.94528              0.8837           0.0372135
                   7             0.95188             0.89344           0.0331474
                   8             0.96778            0.902733           0.0302785
                   9              0.8502            0.896896           0.0274711
                  10             0.96864             0.90407           0.0256437
                  11             0.94692            0.907965           0.0236065
                  12             0.98716            0.914565           0.0225429
                  13              0.9784            0.919475            0.021337
                  14             0.98596            0.924224           0.0203345
                  15             0.89064            0.921985           0.0191017
                  16             0.97172            0.925094            0.018159
                  17             0.98306            0.928504            0.017408
                  18             0.98808            0.931813           0.0167526
                  19             0.98892            0.934819           0.0161383
                  20             0.98084             0.93712           0.0154945
# Temperatura= 0.6
                   1             0.29412             0.29412                   0
                   2             0.37914             0.33663           0.0300591
                   3             0.79402            0.489093            0.126088
                   4             0.62984             0.52428           0.0993547
                   5             0.84344            0.588112           0.0978636
                   6             0.89542             0.63933           0.0940051
                   7              0.4982            0.619169           0.0827096
                   8             0.70362            0.629725           0.0730415
                   9              0.8006            0.648711           0.0673482
                  10             0.19238            0.603078           0.0744857
                  11             0.76114            0.617447           0.0690864
                  12             0.67338            0.622108           0.0634862
                  13             0.63386            0.623012           0.0586091
                  14             0.64492            0.624577           0.0544436
                  15             0.78128            0.635024           0.0518066
                  16             0.73922            0.641536           0.0489763
                  17             0.74616            0.647691           0.0464804
                  18               0.587            0.644319           0.0440203
                  19             0.89096              0.6573           0.0435754
                  20             0.79152            0.664011           0.0419102
# Temperatura= 0.7
                   1             0.57662             0.57662                   0
                   2             0.20192             0.38927            0.132476
                   3              0.7062            0.494913            0.123452
                   4             0.47936            0.491025           0.0926501
                   5             0.33192            0.459204           0.0793967
                   6             0.76158              0.5096           0.0805862
                   7             0.41112            0.495531           0.0702912
                   8             0.63186            0.512572           0.0635369
                   9              0.2387            0.482142           0.0633466
                  10             0.52456            0.486384           0.0571538
                  11             0.36424             0.47528           0.0530257
                  12             0.46958            0.474805            0.048609
                  13             0.62844            0.486623           0.0462842
                  14             0.17622            0.464451           0.0479957
                  15             0.34682            0.456609           0.0454322
                  16             0.25516            0.444019           0.0443029
                  17             0.48378            0.446358           0.0417586
                  18             0.04456            0.424036           0.0450111
                  19             0.69188            0.438133           0.0447953
                  20             0.37242            0.434847           0.0426759
# Temperatura= 0.8
                   1             0.23108             0.23108                   0
                   2             0.25604             0.24356          0.00882469
                   3             0.41154            0.299553           0.0460953
                   4             0.49768            0.349085           0.0550929
                   5             0.15316              0.3099           0.0563109
                   6             0.46092             0.33507           0.0522491
                   7             0.24582             0.32232           0.0463145
                   8             0.28838            0.318077            0.040719
                   9              0.2744            0.313224           0.0364827
                  10              0.2611            0.308012           0.0332047
                  11             0.22598            0.300555           0.0310122
                  12             0.41924            0.310445           0.0299635
                  13             0.11358            0.295302            0.031252
                  14             0.24806            0.291927           0.0292013
                  15             0.42114            0.300541           0.0284968
                  16             0.43454            0.308916           0.0279193
                  17             0.19836            0.302413           0.0270238
                  18             0.07806            0.289949            0.028251
                  19             0.47516            0.299697           0.0283961
                  20              0.3904            0.304232            0.027336
# Temperatura= 0.9
                   1             0.28108             0.28108                   0
                   2             0.23836             0.25972           0.0151038
                   3              0.0991             0.20618           0.0448599
                   4             0.25456            0.218275           0.0352377
                   5             0.05734            0.186088           0.0402925
                   6             0.24128            0.195287           0.0346112
                   7             0.27636            0.206869           0.0315451
                   8              0.1078            0.194485           0.0299341
                   9             0.11678            0.185851           0.0278254
                  10             0.16474             0.18374           0.0251228
                  11              0.2629            0.190936           0.0238474
                  12             0.15176            0.187672           0.0220824
                  13              0.2427            0.191905           0.0207855
                  14             0.30266            0.199816           0.0207518
                  15             0.22858            0.201733           0.0194567
                  16             0.10544            0.195715           0.0191489
                  17              0.3465            0.204585           0.0199713
                  18              0.2095            0.204858           0.0188637
                  19             0.24432            0.206935           0.0179848
                  20             0.27678            0.210427           0.0174213
# Temperatura= 1
                   1             0.17244             0.17244                   0
                   2             0.12374             0.14809           0.0172181
                   3             0.14424            0.146807           0.0115264
                   4             0.14722             0.14691          0.00864528
                   5             0.19474            0.156476           0.0110019
                   6              0.0665             0.14148           0.0164759
                   7             0.26626            0.159306           0.0217209
                   8             0.20038             0.16444           0.0196032
                   9             0.16046            0.163998           0.0174301
                  10             0.12002              0.1596           0.0162324
                  11             0.14774            0.158522           0.0147925
                  12             0.16674            0.159207           0.0135756
                  13             0.22766            0.164472            0.013514
                  14             0.09554            0.159549           0.0134158
                  15             0.22426            0.163863           0.0131968
                  16             0.06686              0.1578            0.013694
                  17             0.15916             0.15788           0.0128887
                  18               0.195            0.159942           0.0123365
                  19             0.23152            0.163709           0.0122489
                  20             0.17426            0.164237           0.0116478
# Temperatura= 1.1
                   1             0.04792             0.04792                   0
                   2             0.10646             0.07719            0.020697
                   3             0.16126            0.105213           0.0267193
                   4             0.06994            0.096395           0.0214454
                   5             0.11654            0.100424           0.0175307
                   6             0.12886            0.105163           0.0152361
                   7             0.12078            0.107394           0.0132218
                   8             0.14422            0.111998           0.0123444
                   9              0.0987             0.11052           0.0110609
                  10             0.28372             0.12784           0.0192115
                  11             0.17192            0.131847           0.0178781
                  12             0.17038            0.135058           0.0166741
                  13              0.1038            0.132654           0.0155639
                  14             0.09158             0.12972           0.0147261
                  15             0.13662             0.13018           0.0137515
                  16             0.12058             0.12958           0.0129051
                  17              0.1141            0.128669           0.0121781
                  18             0.17018            0.130976           0.0117179
                  19             0.12246            0.130527           0.0111097
                  20              0.1004            0.129021           0.0106559
# Temperatura= 1.2
                   1             0.05332             0.05332                   0
                   2             0.10484             0.07908           0.0182151
                   3             0.08394              0.0807           0.0122152
                   4             0.08918             0.08282          0.00934356
                   5             0.08344            0.082944          0.00747567
                   6             0.07002             0.08079          0.00653268
                   7             0.12134           0.0865829          0.00775352
                   8             0.08032              0.0858          0.00682374
                   9             0.16096           0.0941511          0.00993896
                  10             0.16204             0.10094           0.0110224
                  11              0.0901           0.0999545           0.0100644
                  12             0.04338             0.09524           0.0102707
                  13             0.13288           0.0981354          0.00988035
                  14             0.07572           0.0965343          0.00930343
                  15             0.07004            0.094768          0.00884928
                  16             0.06914           0.0931662          0.00843992
                  17             0.07328           0.0919965          0.00802411
                  18             0.06742           0.0906311          0.00769361
                  19             0.09186           0.0906958          0.00728896
                  20             0.04598             0.08846          0.00725931
# Temperatura= 1.3
                   1             0.13158             0.13158                   0
                   2             0.03132             0.08145           0.0354473
                   3             0.08564           0.0828467            0.023659
                   4             0.07288            0.080355            0.017875
                   5             0.05478             0.07524            0.015014
                   6               0.047           0.0705333           0.0132288
                   7             0.03804           0.0658914           0.0121261
                   8             0.09668             0.06974           0.0112044
                   9             0.05572           0.0681822           0.0100672
                  10             0.05714            0.067078          0.00912084
                  11             0.08438           0.0686509          0.00842621
                  12             0.09644           0.0709667          0.00803594
                  13             0.09326           0.0726815          0.00759857
                  14             0.02668           0.0693957          0.00773369
                  15             0.02908            0.066708          0.00767094
                  16             0.10414           0.0690475          0.00753982
                  17             0.05734           0.0683588          0.00712769
                  18             0.06884           0.0683856          0.00673175
                  19             0.06472           0.0681926          0.00638022
                  20             0.09708            0.069637          0.00622255
# Temperatura= 1.4
                   1             0.06448             0.06448                   0
                   2            -0.02184             0.02132           0.0305187
                   3             0.05552             0.03272           0.0223739
                   4             0.05836             0.03913           0.0176748
                   5             0.04788             0.04088           0.0142262
                   6              0.0517           0.0426833           0.0119689
                   7              0.0428              0.0427           0.0102591
                   8             0.02974             0.04108          0.00910372
                   9             0.07044           0.0443422          0.00865698
                  10             0.06278            0.046186          0.00798521
                  11             0.03836           0.0454745          0.00729091
                  12             0.00982           0.0425033          0.00726357
                  13             0.07116           0.0447077          0.00703137
                  14             0.02902           0.0435871          0.00661781
                  15              0.0542           0.0442947          0.00621433
                  16              0.0418           0.0441387          0.00582789
                  17              0.0617           0.0451718          0.00557588
                  18              0.0869             0.04749          0.00572778
                  19               0.078           0.0490958          0.00564693
                  20              0.0912            0.051201          0.00574361
# Temperatura= 1.5
                   1             0.07598             0.07598                   0
                   2             0.05528             0.06563          0.00731856
                   3             0.06004           0.0637667          0.00511074
                   4             0.01444            0.051435           0.0113466
                   5             0.04964            0.051076          0.00908294
                   6              0.0067             0.04368           0.0101428
                   7             0.02722           0.0413286          0.00896222
                   8             0.09254             0.04773          0.00986671
                   9             0.03284           0.0460756          0.00890804
                  10              0.0593            0.047398           0.0081148
                  11             0.07436           0.0498491          0.00773842
                  12             0.02714           0.0479567          0.00732129
                  13             0.02678           0.0463277          0.00693697
                  14             0.07922           0.0486771          0.00682776
                  15             0.03632           0.0478533          0.00642208
                  16             0.02974           0.0467212          0.00611967
                  17              0.0166           0.0449494          0.00601072
                  18             0.05918             0.04574          0.00572855
                  19             0.08254           0.0476768          0.00574515
                  20             0.04488            0.047537          0.00545959
# Temperatura= 1.6
                   1             0.02978             0.02978                   0
                   2              0.0233             0.02654          0.00229103
                   3             0.03896             0.03068          0.00370934
                   4              0.0281            0.030035          0.00283753
                   5             0.09138            0.042304           0.0112061
                   6             0.03726           0.0414633          0.00936986
                   7             0.04382              0.0418          0.00803735
                   8             0.06306           0.0444575           0.0074591
                   9               0.025           0.0422956          0.00693655
                  10             0.06926            0.044992          0.00674666
                  11              0.0712           0.0473745           0.0065405
                  12             0.02758            0.045725          0.00619999
                  13             0.03176           0.0446508          0.00581538
                  14             0.02164           0.0430071          0.00562748
                  15             0.03764           0.0426493          0.00526368
                  16             0.04546            0.042825          0.00493763
                  17             0.02538           0.0417988          0.00475262
                  18            -0.00128           0.0394056          0.00505538
                  19              0.0252           0.0386579          0.00484428
                  20             0.01788            0.037619          0.00471215
# Temperatura= 1.7
                   1             0.01732             0.01732                   0
                   2             0.06502             0.04117           0.0168645
                   3             0.03158           0.0379733            0.011542
                   4             0.06394            0.044465           0.0103219
                   5             0.01866            0.039304          0.00946018
                   6             0.03326           0.0382967          0.00793694
                   7             0.04242           0.0388857          0.00682491
                   8             0.06376            0.041995          0.00664241
                   9             0.02822           0.0404644          0.00607814
                  10             0.01592             0.03801          0.00594528
                  11             0.04356           0.0385145          0.00542617
                  12              0.0054            0.035755          0.00563214
                  13             0.01304           0.0340077          0.00546322
                  14             0.05506           0.0355114          0.00527588
                  15             0.03244           0.0353067          0.00492813
                  16             0.03944            0.035565          0.00462689
                  17              0.0574           0.0368494          0.00452949
                  18              0.0618           0.0382356          0.00448493
                  19             0.05096           0.0389053           0.0042986
                  20             0.00192            0.037056          0.00446376
# Temperatura= 1.8
                   1             0.03306             0.03306                   0
                   2             0.01416             0.02361          0.00668216
                   3             0.04806             0.03176          0.00800791
                   4              0.0631            0.039595          0.00906155
                   5             0.02714            0.037104           0.0075839
                   6             0.06786             0.04223          0.00786371
                   7             0.00566           0.0370057          0.00829615
                   8              0.0171           0.0345175          0.00762314
                   9             0.02202           0.0331289          0.00690144
                  10             0.06086            0.035902          0.00674547
                  11              0.0407           0.0363382          0.00614633
                  12             0.02872           0.0357033          0.00566683
                  13             0.06324           0.0378215          0.00561285
                  14            -0.00468           0.0347857          0.00597681
                  15             0.02754           0.0343027          0.00559784
                  16             0.05144           0.0353737          0.00534946
                  17             0.05976           0.0368082          0.00522358
                  18             0.01396           0.0355389          0.00508527
                  19             0.02678           0.0350779          0.00483848
                  20             0.03688            0.035168          0.00459739
# Temperatura= 1.9
                   1             0.04868             0.04868                   0
                   2             0.04558             0.04713          0.00109602
                   3             0.00896           0.0344067           0.0104142
                   4             0.03694             0.03504           0.0078299
                   5             0.02088            0.032208          0.00675669
                   6             0.04064           0.0336133          0.00577488
                   7             0.05054           0.0360314          0.00543262
                   8             0.02872           0.0351175           0.0048298
                   9            -0.00228           0.0309622          0.00581198
                  10              0.0355            0.031416          0.00524846
                  11             0.03488           0.0317309          0.00478077
                  12             0.03904             0.03234            0.004421
                  13              0.0148           0.0309908          0.00428186
                  14              0.0283           0.0307986          0.00398032
                  15             0.02904           0.0306813           0.0037167
                  16             0.02918           0.0305875          0.00348559
                  17              0.0304           0.0305765          0.00328057
                  18              0.0237           0.0301944          0.00312048
                  19             0.04116           0.0307716          0.00300914
                  20             0.04198            0.031332           0.0029104
# Temperatura= 2
                   1             0.03374             0.03374                   0
                   2               0.029             0.03137          0.00167584
                   3             0.02248           0.0284067          0.00266504
                   4             0.05162             0.03421          0.00540871
                   5             0.01532            0.030432          0.00549011
                   6             0.02352             0.02928           0.0046944
                   7             0.02168           0.0281943          0.00414742
                   8             0.01564            0.026625          0.00391464
                   9             0.03516           0.0275733          0.00359271
                  10             0.01316            0.026132          0.00351068
                  11             0.03722             0.02714          0.00333309
                  12             0.01962           0.0265133          0.00311369
                  13             0.04616           0.0280246          0.00322012
                  14               0.049           0.0295229          0.00332041
                  15             0.02954            0.029524          0.00309905
                  16             0.03088           0.0296087          0.00290652
                  17             0.00716           0.0282882          0.00302066
                  18             0.03672           0.0287567          0.00288894
                  19             0.06228           0.0305211          0.00323107
                  20             0.03382            0.030686          0.00307372
# Temperatura= 2.1
                   1             0.01308             0.01308                   0
