#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
# Temperatura= 0.5
           1    0.320355    0.320355           0
           2    0.123197    0.221776   0.0697062
           3    0.175003    0.206185   0.0481828
           4    0.377525     0.24902   0.0517883
           5    0.246326    0.248481   0.0414334
           6    0.238572     0.24683   0.0345608
           7   0.0681869    0.221309    0.037892
           8    0.208412    0.219697   0.0331898
           9   0.0115117    0.196565   0.0366878
          10    0.242295    0.201138   0.0333028
          11    0.280348    0.208339    0.031044
          12    0.296993    0.215727   0.0293229
          13   0.0618391     0.20389   0.0293596
          14   0.0621566    0.193766   0.0289553
          15    0.299147    0.200791   0.0278643
          16    0.272629    0.205281    0.026482
          17      0.2364    0.207112   0.0249874
          18   0.0947917    0.200872   0.0243659
          19    0.228325    0.202317   0.0231263
          20    0.144903    0.199446   0.0221474
# Temperatura= 0.6
           1    0.386837    0.386837           0
           2    0.414589    0.400713  0.00981174
           3    0.352075    0.384501   0.0147654
           4    0.255187    0.352172   0.0301078
           5    0.385188    0.358775   0.0247998
           6    0.266821    0.343449   0.0249567
           7    0.283695    0.334913   0.0228047
           8    0.274421    0.327351   0.0211706
           9    0.363691    0.331389   0.0191995
          10    0.411719    0.339422   0.0188854
          11    0.354152    0.340761    0.017216
          12    0.342722    0.340925   0.0157821
          13    0.414384    0.346575   0.0155468
          14    0.336476    0.345854    0.014453
          15    0.396723    0.349245   0.0138817
          16    0.243314    0.342624   0.0145072
          17    0.331682    0.341981   0.0136681
          18    0.354359    0.342668   0.0129261
          19    0.313087    0.341112   0.0123392
          20    0.256669    0.336889   0.0124236
# Temperatura= 0.7
           1    0.377601    0.377601           0
           2    0.396999      0.3873  0.00685841
           3    0.353786    0.376129   0.0102031
           4    0.393627    0.380503  0.00853879
           5    0.406071    0.385617  0.00822083
           6    0.363421    0.381918   0.0076378
           7    0.425593    0.388157  0.00873082
           8    0.403586    0.390086   0.0078496
           9    0.377159    0.388649  0.00710762
          10    0.415264    0.391311  0.00687713
          11    0.458109    0.397383  0.00852114
          12    0.420651    0.399322  0.00802862
          13    0.401685    0.399504  0.00741309
          14    0.443987    0.402681   0.0075338
          15    0.428207    0.404383  0.00722117
          16    0.423995    0.405609  0.00687309
          17    0.418905    0.406391  0.00651314
          18    0.450479     0.40884  0.00659579
          19    0.336822     0.40505  0.00725651
          20    0.406802    0.405137  0.00689421
# Temperatura= 0.8
           1    0.461784    0.461784           0
           2    0.424651    0.443218   0.0131286
           3    0.464196     0.45021     0.01045
           4    0.429553    0.445046  0.00902389
           5    0.399877    0.436012   0.0108353
           6     0.46105    0.440185  0.00980006
           7    0.419204    0.437188  0.00884652
           8    0.470266    0.441323   0.0086532
           9    0.411707    0.438032  0.00829382
          10    0.441654    0.438394  0.00747235
          11    0.422196    0.436922  0.00693662
          12    0.410956    0.434758  0.00668754
          13    0.483395    0.438499  0.00714337
          14    0.478819    0.441379  0.00719029
          15    0.431361    0.440711  0.00674188
          16    0.419418    0.439381  0.00645053
          17    0.422303    0.438376  0.00614881
          18    0.432106    0.438028  0.00581706
          19    0.426997    0.437447   0.0055398
          20    0.444299     0.43779  0.00527339
# Temperatura= 0.9
           1    0.424648    0.424648           0
           2    0.444839    0.434744  0.00713879
           3    0.428643     0.43271  0.00504054
           4    0.424248    0.430594  0.00420097
           5    0.456722     0.43582  0.00575673
           6    0.429281     0.43473  0.00489935
           7     0.45319    0.437367  0.00485763
           8     0.44041    0.437748  0.00426528
           9    0.408327    0.434479    0.004886
          10    0.432787     0.43431  0.00440033
          11    0.439142    0.434749  0.00402217
          12    0.426007     0.43402  0.00375237
          13    0.434696    0.434072  0.00346409
          14    0.419921    0.433062  0.00336089
          15    0.423848    0.432447  0.00319247
          16    0.458054    0.434048  0.00337032
          17    0.403877    0.432273  0.00360921
          18    0.436365      0.4325  0.00341584
          19    0.438428    0.432812  0.00325028
          20    0.429201    0.432632  0.00309278
# Temperatura= 1
           1    0.421731    0.421731           0
           2    0.431725    0.426728   0.0035335
           3    0.410667    0.421375  0.00496551
           4    0.442051    0.426544   0.0058231
           5    0.419112    0.425057  0.00484445
           6    0.428283    0.425595  0.00406675
           7    0.413857    0.423918  0.00381588
           8    0.427617     0.42438   0.0033668
           9    0.411466    0.422945  0.00328431
          10     0.41899     0.42255   0.0029796
          11    0.415081    0.421871  0.00278501
          12    0.429371    0.422496  0.00262212
          13    0.419051    0.422231  0.00243377
          14     0.40907    0.421291  0.00243473
          15    0.416548    0.420975  0.00229285
          16    0.416671    0.420706  0.00216527
          17    0.420818    0.420712  0.00203791
          18    0.428101    0.421123   0.0019656
          19    0.423129    0.421228  0.00186499
          20     0.42798    0.421566  0.00180203
# Temperatura= 1.1
           1     0.40475     0.40475           0
           2    0.384536    0.394643  0.00714671
           3    0.395729    0.395005  0.00477363
           4    0.391086    0.394025  0.00367936
           5    0.396826    0.394585  0.00298582
           6     0.39147    0.394066  0.00253292
           7    0.387913    0.393187  0.00231856
           8    0.396969     0.39366  0.00207637
           9    0.391038    0.393368  0.00186598
          10    0.385502    0.392582  0.00183773
          11    0.392477    0.392572  0.00167069
          12    0.393004    0.392608  0.00153185
          13    0.396921     0.39294  0.00144949
          14    0.396778    0.393214  0.00137164
          15    0.399206    0.393614  0.00133709
          16    0.395156     0.39371  0.00125699
          17    0.391662    0.393589  0.00118881
          18    0.390174      0.3934  0.00113781
          19    0.401058    0.393803  0.00114709
          20     0.39754     0.39399  0.00110486
# Temperatura= 1.2
           1    0.374616    0.374616           0
           2     0.37019    0.372403  0.00156496
           3    0.378338    0.374382   0.0019229
           4    0.375332    0.374619  0.00145679
           5    0.368556    0.373407   0.0015921
           6    0.368442    0.372579  0.00152673
           7    0.365772    0.371607  0.00158844
           8    0.369582    0.371354   0.0014099
           9    0.378413    0.372138  0.00145517
          10    0.364318    0.371356   0.0015052
          11    0.376799    0.371851  0.00144743
          12    0.373635       0.372  0.00133443
          13    0.374767    0.372212  0.00124865
          14    0.376912    0.372548  0.00120374
          15    0.367565    0.372216  0.00116842
          16    0.368289    0.371971  0.00112088
          17    0.374466    0.372117  0.00106451
          18    0.374051    0.372225  0.00101077
          19    0.370114    0.372114 0.000963659
          20    0.369886    0.372002 0.000921888
# Temperatura= 1.3
           1    0.345639    0.345639           0
           2    0.347802     0.34672 0.000764607
           3    0.340885    0.344775  0.00166808
           4    0.340484    0.343702  0.00155832
           5    0.340144    0.342991  0.00139972
           6    0.335898    0.341808  0.00158905
           7      0.3411    0.341707  0.00136526
           8    0.339527    0.341435  0.00122151
           9    0.347528    0.342112  0.00125951
          10    0.341747    0.342075  0.00113409
          11    0.346066    0.342438  0.00108748
          12    0.343467    0.342524  0.00100023
          13     0.34695    0.342864 0.000979519
          14    0.344814    0.343004 0.000919401
          15    0.342515    0.342971 0.000858683
          16      0.3407    0.342829 0.000816666
          17    0.345272    0.342973 0.000781173
          18    0.340669    0.342845 0.000748188
          19    0.345364    0.342977 0.000720464
          20    0.340175    0.342837 0.000697931
# Temperatura= 1.4
           1    0.321103    0.321103           0
           2    0.314562    0.317833  0.00231266
           3    0.312408    0.316024  0.00213472
           4    0.324049    0.318031  0.00236254
           5    0.317082    0.317841  0.00189765
           6     0.31678    0.317664  0.00158958
           7    0.314233    0.317174  0.00143606
           8    0.320058    0.317534  0.00130103
           9    0.318685    0.317662  0.00116274
          10    0.317508    0.317647  0.00104656
          11    0.320631    0.317918 0.000985953
          12    0.312941    0.317503 0.000987177
          13    0.313068    0.317162 0.000968405
          14    0.316453    0.317112 0.000900556
          15    0.317257    0.317121 0.000840572
          16    0.322344    0.317448 0.000849047
          17    0.319435    0.317565 0.000807109
          18    0.317358    0.317553 0.000762351
          19    0.312662    0.317296 0.000764457
          20    0.321178     0.31749 0.000750474
# Temperatura= 1.5
           1    0.289733    0.289733           0
           2    0.289859    0.289796 4.44915e-05
           3    0.296538    0.292043  0.00183499
           4    0.288704    0.291208  0.00155462
           5    0.293486    0.291664  0.00130874
           6    0.291949    0.291712  0.00109148
           7    0.294851     0.29216  0.00102355
           8    0.294583    0.292463 0.000939337
           9    0.291761    0.292385 0.000838192
          10    0.295119    0.292658 0.000797716
          11    0.296024    0.292964 0.000781688
          12    0.299212    0.293485 0.000872895
          13    0.296332    0.293704 0.000832776
          14    0.291532    0.293549 0.000787608
          15    0.294562    0.293616 0.000737991
          16    0.294686    0.293683 0.000694886
          17    0.290989    0.293525 0.000671835
          18    0.294149    0.293559 0.000635404
          19    0.294273    0.293597  0.00060307
          20    0.292199    0.293527 0.000576954
# Temperatura= 1.6
           1    0.271203    0.271203           0
           2    0.269695    0.270449 0.000533152
           3    0.268317    0.269738 0.000680349
           4    0.270684    0.269975 0.000549798
           5    0.270719    0.270124 0.000459524
           6    0.272976    0.270599 0.000578775
           7    0.271462    0.270722 0.000509053
           8    0.270736    0.270724 0.000445425
           9     0.27032    0.270679 0.000398187
          10    0.272633    0.270874 0.000403459
          11    0.274753    0.271227 0.000497533
          12    0.269938     0.27112  0.00046752
          13    0.271272    0.271131 0.000431704
          14    0.273284    0.271285 0.000427386
          15    0.269712     0.27118 0.000411555
          16    0.268929     0.27104 0.000409186
          17    0.272684    0.271136 0.000396389
          18    0.271341    0.271148  0.00037453
          19    0.271117    0.271146 0.000354822
          20    0.271117    0.271145 0.000337084
# Temperatura= 1.7
           1    0.247705    0.247705           0
           2     0.24919    0.248448 0.000524903
           3    0.249468    0.248788 0.000446738
           4    0.246803    0.248292 0.000544869
           5    0.247114    0.248056 0.000484113
           6    0.247617    0.247983 0.000408928
           7    0.250052    0.248278 0.000444688
           8     0.24897    0.248365 0.000397418
           9    0.252212    0.248792 0.000535906
          10    0.249029    0.248816 0.000482836
          11    0.248735    0.248809 0.000438998
          12    0.248515    0.248784 0.000403095
          13    0.250867    0.248944  0.00040266
          14    0.249087    0.248955 0.000374028
          15    0.251041    0.249094 0.000374056
          16    0.246951     0.24896 0.000373876
          17    0.249643       0.249 0.000354039
          18    0.249512    0.249028  0.00033551
          19    0.250692    0.249116 0.000329082
          20    0.247912    0.249056 0.000318089
# Temperatura= 1.8
           1    0.231543    0.231543           0
           2    0.230167    0.230855 0.000486456
           3    0.229506    0.230406 0.000489914
           4    0.230478    0.230424 0.000367773
           5    0.230677    0.230474 0.000297685
           6     0.22743    0.229967 0.000525477
           7      0.2309      0.2301 0.000467016
           8    0.231481    0.230273 0.000439398
           9    0.227011     0.22991 0.000518941
          10    0.226324    0.229552 0.000577839
          11    0.229268    0.229526 0.000525883
          12    0.230354    0.229595 0.000486564
          13    0.230217    0.229643 0.000451482
          14    0.227973    0.229524 0.000434698
          15    0.233615    0.229796  0.00048377
          16     0.23013    0.229817 0.000453983
          17    0.231962    0.229943 0.000444467
          18    0.231061    0.230005  0.00042409
          19    0.228301    0.229916 0.000411146
          20    0.231012    0.229971 0.000394223
# Temperatura= 1.9
           1    0.211462    0.211462           0
           2    0.213917    0.212689 0.000868297
           3    0.211806    0.212395 0.000626817
           4     0.21343    0.212654 0.000520788
           5    0.212834     0.21269 0.000417878
           6    0.213451    0.212817 0.000366995
           7    0.211999      0.2127 0.000332623
           8    0.210401    0.212413 0.000396202
           9    0.212898    0.212467 0.000355833
          10    0.212898     0.21251 0.000322856
          11    0.210553    0.212332 0.000338988
          12    0.212171    0.212318 0.000311004
          13    0.213069    0.212376 0.000292384
          14     0.21277    0.212404 0.000272851
          15    0.213695     0.21249 0.000267889
          16     0.21231    0.212479 0.000251382
          17    0.214298    0.212586 0.000258355
          18    0.210726    0.212483  0.00026385
          19    0.213621    0.212543 0.000256675
          20    0.213281     0.21258 0.000246484
# Temperatura= 2
           1    0.197137    0.197137           0
           2    0.196157    0.196647 0.000346254
           3    0.197495     0.19693 0.000326374
           4    0.196593    0.196845 0.000255418
           5    0.195599    0.196596 0.000302427
           6    0.197229    0.196702 0.000269772
           7    0.196139    0.196621 0.000242916
           8    0.197155    0.196688 0.000221532
           9    0.194436    0.196438 0.000307287
          10    0.197082    0.196502 0.000283223
          11    0.196778    0.196527 0.000258579
          12    0.197072    0.196573  0.00024099
          13    0.195225    0.196469 0.000243721
          14    0.196519    0.196473 0.000226339
          15    0.197091    0.196514  0.00021497
          16    0.196953    0.196541 0.000203277
          17    0.195748    0.196495 0.000196598
          18    0.197311     0.19654 0.000190841
          19     0.19544    0.196482 0.000189368
          20    0.197467    0.196531 0.000186198
# Temperatura= 2.1
           1    0.182713    0.182713           0
           2    0.182007     0.18236 0.000249737
           3    0.182433    0.182384  0.00016767
           4     0.18216    0.182328 0.000134819
           5    0.180381    0.181939 0.000364715
           6    0.183422    0.182186 0.000378545
           7      0.1817    0.182117 0.000330767
           8    0.181773    0.182074 0.000292197
           9    0.180953    0.181949 0.000285021
          10    0.182649    0.182019  0.00026498
          11     0.18097    0.181924 0.000257501
          12    0.182417    0.181965 0.000239301
          13    0.181409    0.181922 0.000224685
          14     0.18149    0.181891 0.000210748
          15    0.182537    0.181934 0.000201052
          16    0.182289    0.181956 0.000189701
          17    0.182489    0.181988 0.000181113
          18    0.182897    0.182038 0.000177957
          19    0.183088    0.182094 0.000176964
          20    0.181975    0.182088 0.000168215
# Temperatura= 2.2
           1    0.170151    0.170151           0
           2    0.169524    0.169838 0.000221887
           3    0.169489    0.169721 0.000175768
           4    0.169636      0.1697 0.000133121
