#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
# Temperatura= 0.5
           1     65.4726     65.4726           0
           2     88.4467     76.9597     8.12256
           3     82.6237     78.8477     5.63019
           4     56.2444     73.1969     6.46371
           5     74.5772     73.4729     5.17686
           6     74.7576      73.687     4.31848
           7     97.1762     77.0426     4.83248
           8     80.9959     77.5368     4.25361
           9     99.7737     80.0076     4.44098
          10      74.115     79.4183     4.03578
          11     69.4412     78.5113     3.76944
          12     65.6594     77.4403     3.60426
          13     96.8804     78.9357     3.62397
          14     95.6389     80.1288     3.55609
          15     64.0775     79.0587     3.47629
          16     67.0958      78.311     3.33846
          17     78.0347     78.2948     3.14212
          18     92.1902     79.0667     3.06092
          19     72.3632     78.7139     2.92008
          20     87.1709     79.1368     2.80453
# Temperatura= 0.6
           1     37.2699     37.2699           0
           2     33.9176     35.5937     1.18521
           3     45.8566     39.0147      2.9028
           4     61.1849     44.5572     5.27064
           5     40.8985     43.8255       4.267
           6     61.7599     46.8146     4.48212
           7     54.1333     47.8601     3.96189
           8     56.0151     48.8795      3.5954
           9     42.1915     48.1364      3.2718
          10     36.3655     46.9593     3.14925
          11     42.0628     46.5142     2.89424
          12     47.7269     46.6152     2.65482
          13     36.0829      45.805     2.57125
          14     45.6875     45.7966     2.38761
          15     36.5655     45.1812     2.30638
          16     62.9392     46.2911     2.41456
          17     47.5275     46.3638     2.27362
          18     46.0545     46.3466     2.14737
          19     47.5524     46.4101     2.03529
          20     62.9667     47.2379     2.09513
# Temperatura= 0.7
           1     22.8458     22.8458           0
           2      24.047     23.4464    0.424668
           3     34.0525     26.9818     2.90047
           4     26.8146       26.94     2.17565
           5     28.3479     27.2216     1.75865
           6     31.3865     27.9157     1.59667
           7     31.6749     28.4527     1.45608
           8     29.0258     28.5244     1.27583
           9     32.9226     29.0131     1.22409
          10     28.9265     29.0044     1.10172
          11     23.7225     28.5242     1.10124
          12     22.6859     28.0377     1.11176
          13      28.042      28.038     1.02624
          14     18.4081     27.3502     1.16079
          15     21.4278     26.9554     1.14859
          16     24.7569     26.8179     1.08499
          17     25.1208     26.7181     1.02575
          18     24.8676     26.6153    0.973903
          19     36.1788     27.1186     1.04465
          20     23.0238     26.9139     1.01228
# Temperatura= 0.8
           1     12.9604     12.9604           0
           2      15.384     14.1722    0.856872
           3     14.1261     14.1568    0.571386
           4     14.6196     14.2725    0.440097
           5     14.9488     14.4078     0.37228
           6     13.4552      14.249    0.342419
           7     18.8675     14.9088    0.677697
           8     13.7797     14.7676    0.607502
           9     15.6631     14.8672     0.54809
          10     10.6155      14.442     0.63719
          11     18.8245     14.8404    0.692707
          12     16.9295     15.0145    0.656494
          13       13.19     14.8741    0.620815
          14     10.5828     14.5676    0.647738
          15     17.2945     14.7494     0.62955
          16     15.8937     14.8209    0.594251
          17     14.5999     14.8079    0.559438
          18     16.6441     14.9099    0.537578
          19     15.5214     14.9421    0.510247
          20     10.8354     14.7368    0.524425
# Temperatura= 0.9
           1     8.77444     8.77444           0
           2      6.5668     7.67062     0.78052
           3     12.0671      9.1361     1.30481
           4     12.8884     10.0742     1.27186
           5     9.52022     9.96338     1.02231
           6     12.9077     10.4541    0.962521
           7      12.296     10.7172    0.860231
           8     11.4741     10.8118    0.757886
           9     11.3085      10.867    0.675683
          10      9.8508     10.7654    0.615709
          11     10.4107     10.7331    0.560579
          12     7.89889      10.497     0.56142
          13     13.8584     10.7555    0.574704
          14     13.1547     10.9269    0.558619
          15     12.4109     11.0258    0.530067
          16     9.89436     10.9551    0.501633
          17     10.6588     10.9377    0.472428
          18     7.89218     10.7685    0.475515
          19     6.14578     10.5252    0.508939
          20     11.0563     10.5517    0.484184
# Temperatura= 1
           1     7.62992     7.62992           0
           2     7.81056     7.72024   0.0638659
           3     8.53004     7.99017    0.224475
           4     6.11628      7.5217    0.439254
           5      9.1014     7.83764    0.450931
           6     5.78384     7.49534    0.488721
           7     6.90632     7.41119    0.426086
           8     7.09012     7.37106    0.374711
           9     8.01436     7.44254    0.339825
          10     7.60152     7.45844    0.306214
          11     5.79988     7.30766    0.313306
          12      7.8914      7.3563    0.290949
          13     6.79152     7.31286    0.271793
          14     8.52088     7.39915    0.265723
          15     6.41868     7.33378    0.255922
          16     7.53224     7.34618    0.240227
          17     6.39504     7.29024     0.23252
          18     7.53108     7.30362    0.219987
          19     5.83872     7.22652    0.221508
          20     5.06508     7.11844    0.235324
# Temperatura= 1.1
           1     4.16815     4.16815           0
           2     6.56269     5.36542      0.8466
           3     5.86418     5.53167    0.580495
           4     4.48273     5.26944    0.491044
