#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
           1    -0.95912    -0.95912           0
           2    -0.98448     -0.9718  0.00896611
           3    -0.97788   -0.973827  0.00620223
           4    -0.95164    -0.96828  0.00668672
           5    -0.96872   -0.968368  0.00534995
           6    -0.96972   -0.968593  0.00446304
           7    -0.99144   -0.971857  0.00487492
           8     -0.9736   -0.972075  0.00427042
           9    -0.99856   -0.975018  0.00470179
          10    -0.96924    -0.97444  0.00426696
          11    -0.96432    -0.97352    0.003977
          12    -0.96216   -0.972573  0.00375656
          13    -0.99224   -0.974086  0.00375989
          14     -0.9922    -0.97538  0.00370727
          15    -0.96188    -0.97448  0.00356769
          16    -0.96532   -0.973908  0.00339033
          17       -0.97   -0.973678  0.00319868
          18    -0.98808   -0.974478  0.00311945
          19    -0.97104   -0.974297  0.00296051
          20    -0.98172   -0.974668  0.00283565
# Temperatura= 0.6
           1    -0.92776    -0.92776           0
           2    -0.92236    -0.92506  0.00190919
           3    -0.93448     -0.9282  0.00286235
           4    -0.95296    -0.93439  0.00577457
           5    -0.92808   -0.933128  0.00475556
           6    -0.95076   -0.936067  0.00478556
           7    -0.94756   -0.937709  0.00437451
           8    -0.94932    -0.93916  0.00406135
           9    -0.93224   -0.938391  0.00368216
          10    -0.92292   -0.936844  0.00362442
          11    -0.93408   -0.936593  0.00330362
          12    -0.93628   -0.936567  0.00302842
          13     -0.9224   -0.935477   0.0029851
          14    -0.93748    -0.93562  0.00277531
          15    -0.92584   -0.934968  0.00266577
          16     -0.9552   -0.936233  0.00278296
          17     -0.9384    -0.93636  0.00262217
          18    -0.93404   -0.936231  0.00247966
          19    -0.94196   -0.936533  0.00236741
          20    -0.95268    -0.93734  0.00238274
# Temperatura= 0.7
           1    -0.90276    -0.90276           0
           2    -0.89748    -0.90012  0.00186676
           3     -0.9092   -0.903147  0.00276694
           4     -0.8984    -0.90196  0.00231573
           5      -0.895   -0.900568  0.00223208
           6     -0.9066   -0.901573  0.00207415
           7    -0.88964   -0.899869  0.00237734
           8    -0.89568   -0.899345  0.00213705
           9    -0.90288   -0.899738  0.00193536
          10    -0.89248   -0.899012  0.00187297
          11    -0.88064   -0.897342  0.00233133
          12      -0.891   -0.896813  0.00219614
          13     -0.8962   -0.896766  0.00202771
          14    -0.88456   -0.895894  0.00206181
          15    -0.88892   -0.895429  0.00197609
          16    -0.89008   -0.895095  0.00188065
          17    -0.89148   -0.894882  0.00178201
          18    -0.88276   -0.894209  0.00180579
          19    -0.91376   -0.895238  0.00198237
          20     -0.8948   -0.895216  0.00188337
# Temperatura= 0.8
           1    -0.83932    -0.83932           0
           2    -0.85336    -0.84634  0.00496389
           3     -0.8384   -0.843693  0.00395235
           4    -0.85152    -0.84565  0.00341442
           5     -0.8626    -0.84904  0.00408105
           6     -0.8396   -0.847467  0.00369172
           7     -0.8554     -0.8486  0.00333376
           8    -0.83608   -0.847035  0.00326377
           9     -0.8582   -0.848276  0.00312802
          10    -0.84696   -0.848144  0.00281798
          11    -0.85428   -0.848702  0.00261643
          12    -0.85848   -0.849517  0.00252209
          13    -0.83104   -0.848095  0.00269901
          14     -0.8328   -0.847003  0.00271836
          15    -0.85084   -0.847259  0.00254915
          16    -0.85532   -0.847762  0.00243911
          17    -0.85424   -0.848144   0.0023252
          18    -0.85056   -0.848278   0.0021999
          19    -0.85248   -0.848499   0.0020952
          20    -0.84596   -0.848372  0.00199428
# Temperatura= 0.9
           1    -0.80996    -0.80996           0
           2     -0.7998    -0.80488   0.0035921
           3    -0.80796   -0.805907  0.00253721
           4    -0.81016    -0.80697  0.00211402
           5    -0.79376   -0.804328  0.00290591
           6    -0.80764    -0.80488  0.00247347
           7    -0.79556   -0.803549  0.00245242
           8    -0.80204    -0.80336   0.0021531
           9    -0.81808   -0.804996  0.00245779
          10    -0.80588   -0.805084   0.0022136
          11    -0.80268   -0.804865  0.00202312
          12    -0.80928   -0.805233  0.00188768
          13    -0.80492   -0.805209  0.00174263
          14    -0.81232   -0.805717  0.00169055
          15    -0.81036   -0.806027  0.00160593
          16    -0.79308   -0.805217  0.00169722
          17    -0.82028   -0.806104  0.00181397
          18    -0.80408   -0.805991  0.00171668
          19    -0.80304   -0.805836  0.00163334
          20    -0.80768   -0.805928  0.00155427
# Temperatura= 1
           1    -0.76044    -0.76044           0
           2    -0.75384    -0.75714  0.00233345
           3    -0.76768   -0.760653  0.00326328
           4    -0.74696    -0.75723  0.00384441
           5    -0.76216   -0.758216  0.00319947
           6    -0.75612   -0.757867  0.00268523
           7     -0.7656   -0.758971  0.00251865
           8    -0.75656    -0.75867  0.00222179
           9    -0.76716   -0.759613  0.00216595
          10    -0.76224   -0.759876  0.00196521
          11     -0.7648   -0.760324  0.00183683
          12     -0.7554   -0.759913  0.00172898
          13     -0.7622   -0.760089   0.0016049
          14    -0.76872   -0.760706  0.00160431
          15    -0.76384   -0.760915   0.0015109
          16    -0.76376   -0.761092   0.0014269
          17    -0.76104   -0.761089  0.00134296
          18    -0.75624    -0.76082   0.0012951
          19    -0.75952   -0.760752  0.00122874
          20    -0.75632    -0.76053  0.00118711
# Temperatura= 1.1
           1    -0.71432    -0.71432           0
           2    -0.73124    -0.72278  0.00598212
           3    -0.72192   -0.722493  0.00399494
           4     -0.7258    -0.72332  0.00308055
           5      -0.721   -0.722856  0.00249914
           6    -0.72548   -0.723293  0.00212054
           7    -0.72844   -0.724029  0.00194088
           8    -0.72088   -0.723635  0.00173772
           9    -0.72584    -0.72388  0.00156182
          10    -0.73044   -0.724536  0.00153724
          11    -0.72464   -0.724545  0.00139752
          12     -0.7242   -0.724517  0.00128136
          13    -0.72092    -0.72424  0.00121229
          14    -0.72104   -0.724011  0.00114705
          15      -0.719   -0.723677  0.00111817
          16     -0.7224   -0.723597  0.00105113
          17    -0.72532   -0.723699 0.000994173
          18    -0.72656   -0.723858 0.000951564
          19    -0.71744    -0.72352 0.000959561
