#   N_BLOCK:  ACCEPTANCE:
Temperatura= 0.5
           1   0.0144067
           2   0.0131629
           3     0.01412
           4   0.0142756
           5    0.013587
           6   0.0134273
           7   0.0134467
           8   0.0137138
           9   0.0131114
          10   0.0139187
          11     0.01376
          12     0.01393
          13     0.01456
          14   0.0144147
          15    0.013939
          16   0.0138095
          17   0.0138327
          18   0.0141183
          19   0.0140708
          20   0.0149148
Temperatura= 0.6
           1   0.0221039
           2   0.0235691
           3   0.0244048
           4   0.0251629
           5   0.0258177
           6   0.0271211
           7   0.0274757
           8   0.0281116
           9   0.0286221
          10    0.028715
          11   0.0291441
          12   0.0299005
          13   0.0304953
          14   0.0308114
          15   0.0309956
          16   0.0314178
          17    0.031966
          18    0.032225
          19   0.0325457
          20   0.0326976
Temperatura= 0.7
           1   0.0392477
           2   0.0402211
           3   0.0410271
           4   0.0417514
           5   0.0425672
           6   0.0433131
           7   0.0443674
           8    0.044954
           9   0.0457841
          10   0.0465057
          11   0.0471321
          12    0.047813
          13   0.0484918
          14   0.0491152
          15   0.0498954
          16   0.0504744
          17   0.0511039
          18   0.0516559
          19     0.05213
          20   0.0530507
Temperatura= 0.8
           1   0.0595805
           2   0.0606885
           3    0.061678
           4   0.0625137
           5    0.063344
           6   0.0641741
           7   0.0651187
           8   0.0659398
           9   0.0667998
          10   0.0676131
          11    0.068504
          12   0.0692021
          13   0.0700671
          14   0.0707207
          15   0.0714987
          16   0.0722532
          17   0.0730775
          18    0.073779
          19   0.0745613
          20   0.0750515
Temperatura= 0.9
           1   0.0812989
           2   0.0822653
           3   0.0832766
           4   0.0842372
           5   0.0852853
           6   0.0861992
           7   0.0871651
           8   0.0880421
           9   0.0889281
          10   0.0896642
          11   0.0905314
          12   0.0912839
          13   0.0921334
          14    0.092929
          15   0.0935935
          16   0.0944189
          17   0.0951502
          18   0.0959035
          19   0.0966456
          20   0.0973625
Temperatura= 1
           1    0.103521
           2    0.104567
           3    0.105475
           4    0.106451
           5    0.107385
           6    0.108343
           7    0.109293
           8    0.110195
           9    0.111073
          10    0.111951
          11    0.112763
          12      0.1136
          13    0.114452
          14    0.115256
          15    0.116063
          16    0.116793
          17    0.117603
          18    0.118331
          19    0.119098
          20    0.119846
Temperatura= 1.1
           1    0.125723
           2    0.126683
           3    0.127585
           4     0.12843
           5    0.129338
           6    0.130268
           7    0.131129
           8    0.131985
           9    0.132859
          10    0.133683
          11     0.13447
          12     0.13527
          13    0.136112
          14    0.136912
          15    0.137744
          16    0.138522
          17    0.139308
          18    0.140085
          19    0.140821
          20    0.141591
Temperatura= 1.2
           1     0.14725
           2    0.148154
           3    0.149035
           4    0.149915
           5    0.150776
           6    0.151649
           7    0.152503
           8    0.153328
           9     0.15417
          10    0.154972
          11    0.155783
          12      0.1566
          13     0.15742
          14    0.158206
          15    0.159042
          16    0.159814
          17    0.160574
          18    0.161363
          19    0.162131
          20    0.162834
Temperatura= 1.3
           1    0.168219
           2    0.169067
           3    0.169896
           4    0.170732
           5    0.171566
           6    0.172411
           7    0.173237
           8    0.174036
           9    0.174849
          10    0.175668
          11    0.176447
          12    0.177244
          13    0.178025
          14    0.178782
          15    0.179571
          16    0.180368
          17     0.18114
          18    0.181876
          19    0.182653
          20    0.183405
Temperatura= 1.4
           1     0.18849
           2    0.189317
           3     0.19012
           4    0.190931
           5    0.191768
           6     0.19254
           7    0.193341
           8     0.19413
           9    0.194929
          10    0.195704
          11    0.196467
          12    0.197206
          13    0.197946
          14    0.198669
          15    0.199409
          16    0.200167
          17    0.200892
          18    0.201601
          19    0.202313
          20    0.203048
Temperatura= 1.5
           1    0.207983
           2     0.20877
           3    0.209574
           4    0.210346
           5    0.211117
           6     0.21188
           7    0.212637
           8    0.213404
           9     0.21416
          10    0.214912
          11    0.215669
          12    0.216431
          13    0.217207
          14    0.217921
          15    0.218655
          16    0.219379
          17    0.220097
          18    0.220778
          19    0.221444
          20    0.222148
Temperatura= 1.6
           1    0.226755
           2    0.227508
           3     0.22825
           4    0.228995
           5    0.229733
           6    0.230471
           7    0.231199
           8     0.23193
           9     0.23264
          10    0.233367
          11    0.234088
          12    0.234784
          13    0.235488
          14     0.23619
          15    0.236884
          16    0.237572
          17    0.238258
          18    0.238939
          19    0.239612
          20    0.240278
Temperatura= 1.7
           1    0.244708
           2    0.245435
           3    0.246154
           4    0.246871
           5    0.247571
           6    0.248279
           7    0.248976
           8    0.249663
           9    0.250364
          10    0.251051
          11    0.251749
          12    0.252433
          13    0.253117
          14    0.253787
          15    0.254448
          16    0.255082
          17    0.255744
          18    0.256403
          19    0.257055
          20    0.257696
Temperatura= 1.8
           1    0.261939
           2    0.262623
           3     0.26332
           4    0.263999
           5    0.264689
           6    0.265353
           7    0.266034
           8    0.266709
           9    0.267374
          10    0.268024
          11    0.268677
          12    0.269323
          13    0.269965
          14    0.270608
          15    0.271255
          16    0.271887
          17    0.272528
          18    0.273153
          19    0.273763
          20    0.274395
Temperatura= 1.9
           1    0.278388
           2    0.279041
           3    0.279704
           4    0.280361
           5    0.281001
           6    0.281653
           7    0.282289
           8    0.282929
           9    0.283564
          10    0.284202
          11    0.284815
          12    0.285448
          13    0.286054
          14    0.286666
          15    0.287277
          16    0.287871
          17     0.28848
          18    0.289081
          19    0.289687
          20    0.290283
Temperatura= 2
           1    0.294121
           2    0.294737
           3     0.29535
           4    0.295981
           5    0.296607
           6    0.297219
           7    0.297833
           8    0.298442
           9    0.299042
          10    0.299656
          11     0.30025
          12    0.300857
          13    0.301441
          14    0.302022
          15    0.302612
          16    0.303188
          17    0.303762
          18    0.304335
          19    0.304897
          20    0.305461
Temperatura= 2.1
           1    0.309131
           2    0.309724
           3    0.310315
           4    0.310905
           5    0.311508
           6    0.312094
           7    0.312674
           8    0.313258
           9    0.313835
          10    0.314407
          11     0.31498
          12    0.315549
          13    0.316127
          14    0.316685
          15    0.317249
          16    0.317796
          17    0.318349
          18    0.318903
          19    0.319453
          20    0.320003
Temperatura= 2.2
           1    0.323477
           2    0.324044
           3    0.324608
           4    0.325183
           5    0.325749
           6    0.326319
           7    0.326873
           8    0.327428
           9    0.327982
          10    0.328538
          11    0.329075
          12    0.329614
          13    0.330168
          14    0.330705
          15    0.331245
          16    0.331781
          17    0.332306
          18    0.332844
          19    0.333364
          20    0.333891
Temperatura= 2.3
           1    0.337205
           2    0.337757
           3    0.338305
           4    0.338854
           5    0.339388
           6    0.339922
           7    0.340461
           8    0.341001
           9    0.341538
          10    0.342061
          11    0.342575
          12    0.343102
          13    0.343629
          14    0.344144
          15    0.344661
          16    0.345183
          17    0.345694
          18    0.346195
          19    0.346707
          20     0.34722
Temperatura= 2.4
           1    0.350408
           2    0.350924
           3    0.351452
           4    0.351973
           5    0.352493
           6    0.353006
           7    0.353514
           8     0.35402
           9    0.354526
          10    0.355034
          11    0.355541
          12    0.356045
          13    0.356546
          14     0.35704
          15    0.357537
          16    0.358032
          17    0.358524
          18    0.359013
          19    0.359494
          20    0.359981
Temperatura= 2.5
           1    0.363025
           2    0.363531
           3    0.364026
           4    0.364516
           5    0.365006
           6    0.365486
           7    0.365968
           8    0.366458
           9    0.366942
          10    0.367424
          11    0.367908
          12    0.368384
          13    0.368857
          14    0.369335
          15    0.369819
          16    0.370301
          17    0.370776
          18     0.37124
          19     0.37171
          20    0.372185
Temperatura= 2.6
           1     0.37509
           2    0.375559
           3    0.376037
           4    0.376519
           5    0.377001
           6    0.377478
           7    0.377941
           8    0.378413
           9    0.378874
          10    0.379334
          11    0.379793
          12    0.380253
          13     0.38072
          14    0.381178
          15     0.38163
          16    0.382082
          17    0.382531
          18    0.382987
          19    0.383442
          20    0.383892
Temperatura= 2.7
           1    0.386679
           2    0.387139
           3    0.387592
           4    0.388052
           5    0.388507
           6    0.388957
           7    0.389404
           8    0.389855
           9    0.390299
          10    0.390747
          11    0.391188
          12     0.39163
          13    0.392072
          14    0.392516
          15     0.39295
          16    0.393384
          17    0.393815
          18     0.39425
          19     0.39469
          20    0.395118
Temperatura= 2.8
           1    0.397796
           2    0.398239
           3    0.398674
           4    0.399114
           5    0.399547
           6    0.399974
           7    0.400412
           8    0.400843
           9    0.401273
          10    0.401696
          11    0.402119
          12    0.402542
          13    0.402964
          14    0.403391
          15    0.403816
          16    0.404235
          17    0.404654
          18    0.405067
          19    0.405482
          20    0.405903
Temperatura= 2.9
           1    0.408459
           2     0.40888
           3    0.409297
           4    0.409715
           5    0.410138
           6    0.410553
           7    0.410965
           8    0.411378
           9      0.4118
          10     0.41221
          11    0.412623
          12    0.413039
          13    0.413449
          14    0.413853
          15    0.414251
          16    0.414662
          17    0.415066
          18    0.415469
          19     0.41587
          20    0.416271
Temperatura= 3
           1    0.418738
           2    0.419153
