#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
# Temperatura= 0.5
           1     0.84246     0.84246           0
           2     0.98398     0.91322   0.0500349
           3     0.83278    0.886407   0.0398994
           4     0.93054     0.89744   0.0314131
           5     0.97196    0.912344   0.0284472
           6     0.97004     0.92196   0.0252791
           7     0.94062    0.924626   0.0218079
           8     0.90846    0.922605   0.0191753
           9     0.98798    0.929869   0.0183691
          10     0.80548     0.91743   0.0203117
          11     0.93824    0.919322   0.0185531
          12     0.93536    0.920658   0.0170551
          13      0.7074    0.904254   0.0222767
          14     0.96194    0.908374   0.0210632
          15      0.9895    0.913783   0.0203415
          16     0.95996    0.916669   0.0192738
          17     0.88726    0.914939   0.0182175
          18     0.86858    0.912363   0.0173865
          19     0.94054    0.913846   0.0165346
          20      0.7146    0.903884   0.0184668
# Temperatura= 0.6
           1     0.73226     0.73226           0
           2     0.31014      0.5212    0.149242
           3     0.43218    0.491527    0.102402
           4     0.66168    0.534065   0.0851799
           5     0.58386    0.544024   0.0687236
           6     0.52008    0.540033   0.0573854
           7     0.54742    0.541089   0.0491972
           8     0.73156    0.564897   0.0484675
           9      0.4108    0.547776   0.0460072
          10     0.85146    0.578144   0.0504432
          11     0.67234    0.586707   0.0465787
          12     0.33586    0.565803   0.0471551
          13     0.35056    0.549246   0.0463435
          14      0.5819    0.551579   0.0430919
          15     0.81532    0.569161   0.0436591
          16     0.69232    0.576859   0.0416035
          17     0.42358    0.567842   0.0401213
          18     0.72106    0.576354   0.0387848
          19     0.34104    0.563969   0.0386704
          20     0.85162    0.578352   0.0393206
# Temperatura= 0.7
           1      0.6733      0.6733           0
           2      0.3811      0.5272    0.103308
           3     0.41742    0.490607   0.0750739
           4     0.50576    0.494395   0.0564009
           5     0.42658    0.480832   0.0467231
           6     0.50842     0.48543   0.0391615
           7     0.29868    0.458751   0.0416751
           8     0.62586     0.47964   0.0413707
           9     0.50602    0.482571   0.0368777
          10     0.44306     0.47862   0.0334009
          11     0.60234    0.489867   0.0322025
          12     0.44704    0.486298   0.0297161
