#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
# Temperatura= 0.5
           1    0.117209    0.117209           0
           2   0.0602514     0.08873   0.0201374
           3    0.185635    0.121032   0.0295943
           4    0.216197    0.144823   0.0302849
           5    0.166863    0.149231   0.0245466
           6    0.155891    0.150341   0.0204806
           7    0.162162     0.15203   0.0176243
           8    0.254072    0.164785   0.0194981
           9   0.0472198    0.151722   0.0212617
          10    0.304993    0.167049   0.0240333
          11    0.208724    0.170838    0.022145
          12    0.202802    0.173502   0.0204592
          13    0.332315    0.185718   0.0222356
          14    0.216819     0.18794    0.020758
          15    0.149928    0.185405   0.0195282
          16    0.251904    0.189562   0.0187447
          17    0.200307    0.190194   0.0176528
          18    0.122251    0.186419   0.0170708
          19    0.296069     0.19219   0.0171201
          20    0.324344    0.198798   0.0174928
# Temperatura= 0.6
           1    0.422985    0.422985           0
           2    0.419096    0.421041    0.001375
           3    0.417048     0.41971  0.00142167
           4    0.343554    0.400671   0.0165227
           5    0.420734    0.404683   0.0136968
           6    0.419096    0.407086   0.0116227
           7    0.414794    0.408187   0.0100143
           8    0.441567    0.412359  0.00959252
           9    0.322707    0.402398    0.012685
          10    0.261959    0.388354   0.0175455
          11    0.387456    0.388272   0.0159506
          12    0.380648    0.387637   0.0146341
          13     0.31225    0.381838   0.0146122
          14    0.332516    0.378315   0.0139868
          15    0.352075    0.376566   0.0131633
          16    0.333141    0.373852   0.0126172
          17    0.377551    0.374069   0.0118769
          18    0.404124    0.375739   0.0113339
          19     0.32208    0.372915   0.0110836
          20    0.328344    0.370686   0.0107511
# Temperatura= 0.7
           1    0.332343    0.332343           0
           2    0.341741    0.337042  0.00332271
           3    0.407678    0.360588   0.0193519
           4    0.374062    0.363956   0.0148042
           5    0.456527     0.38247   0.0203588
           6    0.427626    0.389996    0.018304
           7    0.458827    0.399829    0.018139
           8    0.402709    0.400189   0.0158752
           9     0.41264    0.401573   0.0141715
          10    0.440953    0.405511   0.0132902
          11    0.420069    0.406834   0.0121477
          12    0.369484    0.403722   0.0115273
          13    0.426319     0.40546   0.0107708
          14    0.449182    0.408583   0.0104444
          15     0.44774    0.411193   0.0100691
          16    0.432702    0.412538  0.00952906
          17    0.404464    0.412063  0.00898035
          18    0.448317    0.414077  0.00870438
          19     0.39524    0.413085  0.00830252
          20    0.422832    0.413573  0.00790168
# Temperatura= 0.8
           1    0.463462    0.463462           0
           2    0.465244    0.464353 0.000629846
           3    0.424758    0.451155   0.0107846
           4    0.410849    0.441078   0.0118985
           5    0.437734    0.440409  0.00953756
           6    0.443982    0.441005  0.00796653
           7    0.442289    0.441188  0.00683057
           8    0.469639    0.444745  0.00684017
           9    0.457584    0.446171  0.00622714
          10    0.414602    0.443014  0.00635445
          11    0.448842    0.443544  0.00579882
          12    0.417493    0.441373   0.0057075
          13    0.462623    0.443008  0.00549756
          14    0.427742    0.441917  0.00521189
          15    0.415138    0.440132  0.00516116
          16     0.45937    0.441334  0.00497667
          17    0.432744    0.440829  0.00470951
          18    0.430723    0.440268  0.00448121
          19    0.455691    0.441079  0.00431826
          20    0.415459    0.439798  0.00428814
# Temperatura= 0.9
           1    0.436682    0.436682           0
           2    0.423367    0.430025   0.0047075
           3    0.443575    0.434542  0.00484249
           4     0.45154    0.438791   0.0051705
           5    0.461966    0.443426   0.0058563
           6    0.423127    0.440043  0.00577536
           7    0.438983    0.439892  0.00495229
           8    0.431832    0.438884  0.00443456
           9    0.436126    0.438578   0.0039524
          10     0.41944    0.436664  0.00399371
          11    0.444444    0.437371  0.00369275
          12    0.428882    0.436664  0.00345211
          13    0.437555    0.436732  0.00318725
          14    0.431593    0.436365  0.00298066
          15    0.410588    0.434647  0.00323968
          16    0.438904    0.434913   0.0030481
          17    0.428962    0.434563  0.00288883
          18    0.420643    0.433789  0.00282995
          19    0.442151     0.43423  0.00271502
          20    0.429919    0.434014  0.00258781
# Temperatura= 1
           1    0.417648    0.417648           0
           2    0.429854    0.423751  0.00431559
           3    0.420392    0.422631  0.00301883
           4    0.414959    0.420713  0.00280817
           5    0.426224    0.421815  0.00245332
           6     0.42489    0.422328  0.00209727
           7    0.413428    0.421056  0.00214876
           8    0.420026    0.420928  0.00188402
           9      0.4258    0.421469  0.00175073
          10    0.422278     0.42155  0.00157753
          11     0.40278    0.419844  0.00216878
          12    0.406854    0.418761  0.00224198
          13    0.420331    0.418882  0.00207277
          14     0.41355    0.418501  0.00195939
          15     0.41502    0.418269  0.00184245
          16    0.412692     0.41792  0.00175996
          17    0.419051    0.417987  0.00165769
          18     0.43269    0.418804  0.00175534
          19    0.419539    0.418842  0.00166338
          20    0.403831    0.418092  0.00174134
# Temperatura= 1.1
           1    0.392189    0.392189           0
           2    0.399491     0.39584  0.00258155
           3    0.395967    0.395882  0.00172138
           4    0.387432     0.39377  0.00223929
           5    0.388828    0.392781  0.00199768
           6    0.399966    0.393979  0.00199154
           7     0.40541    0.395612  0.00228034
           8    0.405882    0.396896   0.0023288
           9    0.397397    0.396951  0.00207071
          10    0.400726    0.397329  0.00189772
          11    0.394678    0.397088  0.00174044
          12    0.394391    0.396863  0.00160985
          13    0.404277    0.397433  0.00158381
          14    0.396349    0.397356  0.00147258
          15    0.394152    0.397142  0.00138981
          16    0.400631     0.39736  0.00131994
          17    0.403663    0.397731  0.00129331
          18    0.401958    0.397966   0.0012426
          19    0.399206    0.398031  0.00117891
          20    0.393291    0.397794  0.00114354
# Temperatura= 1.2
           1     0.38215     0.38215           0
           2    0.365007    0.373578  0.00606098
           3    0.370304    0.372487  0.00413775
           4     0.37322     0.37267  0.00310737
           5      0.3624    0.370616  0.00309114
           6    0.370911    0.370665  0.00257634
           7    0.366574    0.370081  0.00227363
           8    0.371896    0.370308  0.00200072
           9    0.375295    0.370862  0.00185357
          10    0.369088    0.370684  0.00167667
          11     0.36867    0.370501  0.00153422
          12    0.366192    0.370142  0.00144779
          13    0.370911    0.370201  0.00133763
          14    0.375558    0.370584  0.00129566
          15    0.371328    0.370634  0.00121023
          16    0.369924    0.370589   0.0011354
          17    0.373711    0.370773  0.00108336
          18    0.375069    0.371012  0.00104913
          19    0.373975    0.371167  0.00100544
          20    0.367146    0.370966 0.000975071
# Temperatura= 1.3
           1    0.342884    0.342884           0
           2    0.340453    0.341668 0.000859486
           3    0.340885    0.341407 0.000611415
           4    0.344202    0.342106 0.000759255
           5    0.342853    0.342255 0.000621942
           6    0.342546    0.342304 0.000520169
           7    0.343252    0.342439 0.000463165
           8      0.3368    0.341734  0.00077399
           9    0.346615    0.342277 0.000857162
          10    0.345059    0.342555 0.000815344
          11    0.343681    0.342657 0.000747626
          12     0.33897     0.34235 0.000745796
          13    0.344355    0.342504 0.000704197
          14    0.343835    0.342599 0.000660278
          15    0.348439    0.342989 0.000721984
          16    0.347619    0.343278 0.000732574
          17    0.343896    0.343314 0.000690382
          18    0.348773    0.343618 0.000715544
          19    0.351043    0.344008  0.00077731
          20    0.348348    0.344225 0.000768137
# Temperatura= 1.4
           1    0.317282    0.317282           0
           2    0.315521    0.316402 0.000622577
           3     0.31856    0.317121 0.000719268
           4     0.31891    0.317569 0.000664099
           5    0.320507    0.318156 0.000747302
           6    0.314183    0.317494 0.000867909
           7    0.314992    0.317136 0.000814221
           8    0.317558    0.317189 0.000714149
           9    0.319709    0.317469 0.000687504
          10     0.31916    0.317638  0.00063921
          11     0.32088    0.317933 0.000645455
          12     0.31856    0.317985  0.00059378
          13    0.317056    0.317914 0.000552387
          14    0.315446    0.317738 0.000540329
          15    0.315067    0.317559 0.000532824
          16    0.321128    0.317783 0.000544207
          17    0.316428    0.317703 0.000517995
          18    0.316428    0.317632 0.000494035
          19    0.314132    0.317448 0.000501198
          20     0.31846    0.317498 0.000478687
# Temperatura= 1.5
           1    0.292615    0.292615           0
           2    0.293383    0.292999 0.000271509
           3    0.294913    0.293637  0.00055148
           4     0.29172    0.293157 0.000585931
           5    0.293983    0.293323 0.000491467
           6    0.296024    0.293773 0.000580257
           7    0.294975    0.293945 0.000522139
           8    0.292178    0.293724 0.000501397
           9    0.292178    0.293552  0.00047419
          10     0.29076    0.293273 0.000502309
          11    0.294459    0.293381 0.000468071
          12    0.298622    0.293817 0.000599166
          13    0.299862    0.294282 0.000710957
          14    0.291803    0.294105 0.000681872
          15    0.294045    0.294101 0.000636426
          16    0.294913    0.294152 0.000598666
          17    0.293092     0.29409 0.000566687
          18    0.290718    0.293902 0.000565319
          19    0.290592    0.293728 0.000561769
          20    0.291344    0.293609 0.000546177
# Temperatura= 1.6
           1    0.270181    0.270181           0
           2    0.269068    0.269625 0.000393547
           3    0.270407    0.269885 0.000337843
           4    0.270753    0.270102 0.000315445
           5    0.269747    0.270031 0.000260236
           6    0.271376    0.270255 0.000298099
           7    0.269434    0.270138  0.00027765
           8    0.271721    0.270336 0.000305398
           9    0.271979    0.270518 0.000321448
          10    0.272272    0.270694 0.000333713
          11    0.275314    0.271114 0.000502396
          12    0.270753    0.271084 0.000461427
          13    0.271203    0.271093 0.000426024
          14    0.272598      0.2712  0.00040894
          15    0.270822    0.271175 0.000382453
          16    0.271393    0.271189 0.000358792
          17    0.270632    0.271156 0.000339178
          18    0.271841    0.271194 0.000322464
          19    0.269608    0.271111 0.000316114
          20    0.269956    0.271053 0.000305539
# Temperatura= 1.7
           1    0.247927    0.247927           0
           2    0.250212    0.249069 0.000808146
           3    0.246996    0.248378 0.000780245
           4    0.249439    0.248643  0.00062862
           5    0.247764    0.248468 0.000526906
           6      0.2503    0.248773 0.000520097
           7     0.24664    0.248468 0.000527551
           8    0.248427    0.248463 0.000461632
           9    0.248809    0.248501 0.000411936
          10     0.24853    0.248504 0.000370752
          11    0.251548    0.248781 0.000428006
          12    0.249848     0.24887 0.000401465
          13    0.249336    0.248906 0.000372183
          14    0.246981    0.248768 0.000370123
          15    0.250314    0.248871 0.000359511
          16    0.247321    0.248774 0.000349851
          17    0.249804    0.248835 0.000334472
          18    0.249833     0.24889 0.000320455
          19    0.247454    0.248815 0.000312376
          20    0.249043    0.248826 0.000296966
# Temperatura= 1.8
           1    0.229243    0.229243           0
           2    0.229131    0.229187 3.98635e-05
           3     0.23064    0.229671 0.000396296
           4    0.231999    0.230253 0.000585131
           5    0.231753    0.230553 0.000539531
           6    0.228905    0.230278 0.000514821
           7    0.231556    0.230461 0.000472501
           8    0.231036    0.230533 0.000418881
           9    0.230192    0.230495 0.000374044
          10    0.227935    0.230239  0.00041507
          11    0.229893    0.230208 0.000378525
          12      0.2309    0.230265 0.000351354
          13    0.231123    0.230331 0.000330464
          14    0.229268    0.230255 0.000315461
          15    0.229531    0.230207 0.000298103
          16    0.230776    0.230243 0.000281586
          17     0.23003     0.23023 0.000265299
          18    0.228892    0.230156 0.000260764
          19    0.228603    0.230074 0.000259526
          20    0.231383     0.23014 0.000254664
# Temperatura= 1.9
           1    0.210314    0.210314           0
           2    0.211828    0.211071 0.000535154
           3    0.213928    0.212023 0.000855595
           4    0.213441    0.212378 0.000711307
           5    0.213175    0.212537 0.000586653
           6    0.213419    0.212684 0.000506976
           7    0.211956     0.21258 0.000445079
           8    0.211623    0.212461 0.000405201
           9    0.211956    0.212404 0.000364029
          10    0.213026    0.212467 0.000332888
          11    0.212225    0.212445 0.000303351
          12    0.212385     0.21244 0.000278112
          13    0.211116    0.212338 0.000274724
          14    0.212962    0.212382 0.000258693
          15    0.213196    0.212437  0.00024707
          16    0.212032    0.212411 0.000232922
          17    0.214498    0.212534 0.000249467
          18    0.213334    0.212579 0.000239537
          19    0.213377    0.212621 0.000230585
          20    0.211871    0.212583 0.000222085
# Temperatura= 2
           1    0.196999    0.196999           0
           2    0.197118    0.197059 4.23015e-05
           3    0.196584      0.1969 0.000132327
           4    0.197897     0.19715 0.000237607
           5    0.195832    0.196886 0.000302774
           6    0.196491     0.19682 0.000259369
           7    0.196482    0.196772 0.000226777
           8    0.196046    0.196681 0.000215818
           9    0.196482    0.196659 0.000192972
          10    0.197155    0.196709 0.000179941
          11    0.196953    0.196731 0.000164945
          12    0.196953    0.196749 0.000152233
          13    0.197586    0.196814 0.000153541
          14    0.196934    0.196822 0.000142815
          15    0.197605    0.196874 0.000142504
          16     0.19721    0.196895 0.000135135
          17    0.196491    0.196872 0.000129262
          18    0.196074    0.196827 0.000129457
          19    0.196741    0.196823 0.000122724
          20    0.196297    0.196796 0.000119375
# Temperatura= 2.1
           1    0.183303    0.183303           0
           2    0.180741    0.182022 0.000905803
           3    0.181749    0.181931 0.000608431
           4    0.182055    0.181962 0.000457118
           5    0.182031    0.181976 0.000365903
           6    0.181878     0.18196 0.000305283
           7    0.181587    0.181906 0.000266271
           8    0.182809    0.182019 0.000255792
           9    0.181765    0.181991 0.000228925
          10    0.181886     0.18198 0.000206273
          11     0.18153     0.18194 0.000191538
          12    0.181951     0.18194 0.000175578
          13    0.183088    0.182029 0.000182933
          14    0.181514    0.181992 0.000173521
          15    0.182873    0.182051 0.000171608
          16    0.181708    0.182029 0.000162211
          17    0.180953    0.181966 0.000164557
          18    0.181951    0.181965 0.000155417
