#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
# Temperatura= 0.5
           1     90.6938     90.6938           0
           2     95.7282      93.211     1.77993
           3     81.9544     89.4588     3.28542
           4     77.1729     86.3873     3.62589
           5      85.785     86.2668     2.90271
           6     84.9671     86.0502       2.427
           7     85.1552     85.9224     2.08365
           8     73.0268     84.3104     2.36593
           9     96.6833     85.6852     2.47038
          10     68.5142     83.9681     2.75624
          11     79.1582     83.5308     2.54012
          12     80.2878     83.2606     2.34277
          13     60.0666     81.4764     2.75953
          14     77.3426     81.1811     2.57817
          15     86.9731     81.5673     2.43503
          16     76.8781     81.2742     2.30041
          17     78.1718     81.0917     2.17232
          18     89.1659     81.5403     2.09744
          19     65.8883     80.7165     2.14272
          20     66.3254     79.9969     2.15302
# Temperatura= 0.6
           1     36.1932     36.1932           0
           2     30.4795     33.3363     2.02011
           3     36.9785     34.5504     1.67223
           4     47.3494     37.7502     3.04167
           5     35.4577     37.2917     2.46765
           6     35.4735     36.9886      2.0749
           7     32.9764     36.4154     1.85596
           8     28.4033     35.4139     1.87481
           9     49.7161     37.0031     2.24097
          10     57.8809     39.0908     2.82679
          11     36.9006     38.8917     2.57681
          12     39.4201     38.9358     2.36246
          13     50.8865     39.8551      2.3528
          14     47.0257     40.3672      2.2398
          15     40.5644     40.3804     2.09052
          16     43.0182     40.5453     1.96635
          17     39.5245     40.4852      1.8516
          18     36.8716     40.2844     1.75958
          19     45.4304     40.5553     1.68769
          20     47.4965     40.9023      1.6386
# Temperatura= 0.7
           1     35.2622     35.2622           0
           2     36.6054     35.9338    0.474873
           3     25.8072     32.5583     2.77423
           4      29.966     31.9102     2.15504
           5     14.0238     28.3329     3.63454
           6     23.5632      27.538     3.11451
           7     16.3936     25.9459     3.04945
           8     26.2248     25.9808     2.66847
           9     24.8915     25.8597     2.37472
          10     23.0541     25.5792     2.15376
          11     26.1567     25.6317      1.9586
          12     31.0904     26.0866     1.84745
          13     23.9718     25.9239     1.71249
          14     22.9305     25.7101     1.60346
          15     20.3789     25.3547     1.53545
          16     21.9503     25.1419     1.45415
          17     31.1961      25.498     1.41155
          18     16.9925     25.0255        1.41
          19     27.9713     25.1805     1.34429
          20     25.4223     25.1926     1.27713
# Temperatura= 0.8
           1     13.3781     13.3781           0
           2     14.2269     13.8025    0.300096
           3     15.0063     14.2038    0.383887
           4     17.9648      15.144      0.8637
           5     15.6854     15.2523    0.697713
           6     14.9319     15.1989    0.583468
           7     15.7852     15.2827    0.506092
           8     12.3595     14.9173    0.559396
           9     9.29265     14.2923    0.770989
          10     16.6815     14.5312    0.729972
          11     13.9175     14.4754    0.665741
          12      17.004     14.6862    0.642743
          13     12.9318     14.5512    0.607302
          14     11.9515     14.3655    0.591632
          15     16.6602     14.5185    0.571626
          16     11.4952     14.3295    0.566269
          17     17.5992     14.5219    0.564678
          18     16.5056     14.6321    0.543955
          19     16.2951     14.7196     0.52232
          20     16.1909     14.7932    0.501358
# Temperatura= 0.9
           1     10.6326     10.6326           0
           2     12.4639     11.5483    0.647458
           3     9.30329     10.7999    0.748091
           4     8.63822     10.2595    0.730647
           5     9.82204      10.172    0.589733
           6     10.9244     10.2974      0.5046
           7     11.9829     10.5382    0.486582
           8     9.79071     10.4448    0.434638
           9     10.4055     10.4404    0.386367
          10     9.95116     10.3915    0.350814
          11     11.0845     10.4545     0.32453
          12     9.64747     10.3872    0.304374
          13     10.7214     10.4129    0.282044
          14     9.43587     10.3431    0.270395
          15     10.6238     10.3619    0.253015
          16     10.7806      10.388    0.238551
          17     9.78218     10.3524    0.227165
          18     11.6955      10.427    0.226469
          19     10.5333     10.4326    0.214618
          20     10.4994     10.4359    0.203913
# Temperatura= 1
           1     7.66428     7.66428           0
           2      6.8988     7.28154    0.270638
           3      8.4604     7.67449    0.368096
           4     8.64424     7.91693    0.346839
           5     6.15412     7.56437    0.420036
           6     6.26624     7.34801    0.401907
           7      8.3812     7.49561    0.370604
           8     8.79284     7.65777    0.357999
           9     7.34408     7.62291    0.319914
          10     5.95356     7.45598    0.328603
          11     8.96672     7.59332    0.326171
          12      7.7588     7.60711    0.299281
          13     7.75584     7.61855    0.276478
          14     6.87216     7.56523    0.261819
          15      7.7606     7.57826    0.244689
          16     8.44544     7.63246    0.235321
