#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
# Temperatura= 0.5
           1    -0.98524    -0.98524           0
           2    -0.99244    -0.98884  0.00254558
           3    -0.97652   -0.984733  0.00375808
           4     -0.9726     -0.9817  0.00385293
           5    -0.97892   -0.981144  0.00312221
           6    -0.98032   -0.981007  0.00260486
           7    -0.97952   -0.980794  0.00224138
           8    -0.96772    -0.97916  0.00248663
           9    -0.99408   -0.980818  0.00270712
          10    -0.96112   -0.978848  0.00307052
          11    -0.97356   -0.978367  0.00282876
          12    -0.97432    -0.97803  0.00261306
          13    -0.95756   -0.976455  0.00284723
          14    -0.97252   -0.976174  0.00265769
          15    -0.98108   -0.976501  0.00250056
          16      -0.968    -0.97597  0.00240006
          17    -0.97464   -0.975892  0.00226015
          18     -0.9846   -0.976376  0.00218575
          19    -0.96228   -0.975634    0.002193
          20     -0.9586   -0.974782  0.00224265
# Temperatura= 0.6
           1    -0.92072    -0.92072           0
           2    -0.92148     -0.9211 0.000268701
           3    -0.92188    -0.92136 0.000277769
           4    -0.93612    -0.92505  0.00320242
           5    -0.92116   -0.924272  0.00265476
           6    -0.92148   -0.923807  0.00225271
           7    -0.92232   -0.923594  0.00194088
           8    -0.91708    -0.92278  0.00186126
           9    -0.94012   -0.924707  0.00245699
          10    -0.95168   -0.927404  0.00338199
          11    -0.92764   -0.927425  0.00307461
          12    -0.92896   -0.927553  0.00282105
          13    -0.94212   -0.928674   0.0028178
          14    -0.93824   -0.929357  0.00269811
          15    -0.93448   -0.929699  0.00253976
          16    -0.93812   -0.930225  0.00243495
          17    -0.92956   -0.930186  0.00229203
          18     -0.9244   -0.929864  0.00218712
          19    -0.94024   -0.930411  0.00213909
          20    -0.93904   -0.930842   0.0020752
# Temperatura= 0.7
           1    -0.91496    -0.91496           0
           2    -0.91244     -0.9137 0.000890955
           3    -0.89456    -0.90732    0.005243
           4    -0.90372    -0.90642  0.00400875
           5    -0.88108   -0.901352  0.00555271
           6    -0.88908   -0.899307  0.00498976
           7    -0.88044   -0.896611  0.00495164
           8    -0.89592   -0.896525  0.00433344
           9     -0.8932   -0.896156  0.00386766
          10     -0.8854    -0.89508  0.00362736
          11    -0.89116   -0.894724  0.00331506
          12    -0.90496   -0.895577  0.00314664
          13    -0.88944   -0.895105  0.00293979
          14    -0.88312   -0.894249  0.00285172
          15    -0.88352   -0.893533  0.00274984
          16    -0.88768   -0.893168  0.00260219
          17    -0.89544   -0.893301  0.00245255
          18    -0.88336   -0.892749  0.00237767
          19    -0.89796   -0.893023  0.00226829
          20     -0.8904   -0.892892  0.00215867
# Temperatura= 0.8
           1    -0.83868    -0.83868           0
           2      -0.838    -0.83834 0.000240416
           3    -0.85332   -0.843333  0.00408019
           4    -0.85852    -0.84713  0.00449171
           5    -0.84844   -0.847392    0.003601
           6    -0.84608   -0.847173  0.00300747
           7    -0.84672   -0.847109  0.00257853
           8    -0.83632    -0.84576  0.00258492
           9    -0.84092   -0.845222  0.00235298
          10    -0.85712   -0.846412  0.00239971
          11    -0.84424   -0.846215  0.00218966
          12    -0.85604   -0.847033  0.00215484
          13      -0.839   -0.846415   0.0020758
          14     -0.8522   -0.846829  0.00196822
          15    -0.85692   -0.847501   0.0019486
          16    -0.84024   -0.847047  0.00187892
          17    -0.85032    -0.84724  0.00177823
          18    -0.85108   -0.847453  0.00169218
          19    -0.84164   -0.847147  0.00163055
          20     -0.8568    -0.84763  0.00161887
# Temperatura= 0.9
           1    -0.80392    -0.80392           0
           2     -0.8106    -0.80726  0.00236174
           3    -0.80044   -0.804987  0.00243401
           4     -0.7964    -0.80284  0.00260549
           5    -0.79108   -0.800488  0.00296146
           6    -0.81072   -0.802193  0.00291786
           7    -0.80276   -0.802274  0.00250215
           8    -0.80636   -0.802785  0.00224089
           9     -0.8042   -0.802942  0.00199741
          10    -0.81256   -0.803904  0.00201597
          11        -0.8   -0.803549  0.00186368
          12    -0.80784   -0.803907  0.00174234
          13    -0.80348   -0.803874  0.00160862
          14    -0.80648    -0.80406  0.00150445
          15    -0.81696    -0.80492  0.00163155
          16     -0.8028   -0.804787  0.00153495
          17     -0.8078   -0.804965  0.00145485
          18    -0.81196   -0.805353  0.00142498
          19    -0.80116   -0.805133  0.00136697
          20    -0.80732   -0.805242  0.00130299
# Temperatura= 1
           1    -0.76312    -0.76312           0
           2    -0.75508     -0.7591  0.00284257
           3    -0.76132    -0.75984  0.00198904
           4    -0.76488     -0.7611  0.00184827
           5    -0.75748   -0.760376   0.0016142
           6    -0.75836    -0.76004  0.00137969
           7    -0.76588   -0.760874  0.00141249
           8    -0.76156    -0.76096  0.00123853
           9    -0.75776   -0.760604  0.00115082
          10    -0.76008   -0.760552  0.00103693
          11     -0.7728   -0.761665  0.00141975
          12    -0.77016   -0.762373  0.00146734
          13    -0.76136   -0.762295  0.00135653
          14     -0.7658   -0.762546  0.00128253
          15    -0.76484   -0.762699  0.00120611
          16    -0.76636   -0.762927  0.00115223
          17     -0.7622   -0.762885  0.00108525
          18     -0.7532   -0.762347  0.00115063
          19    -0.76188   -0.762322  0.00109033
          20    -0.77212   -0.762812  0.00114057
# Temperatura= 1.1
           1    -0.72488    -0.72488           0
           2    -0.71876    -0.72182  0.00216375
           3    -0.72172   -0.721787  0.00144275
           4    -0.72884    -0.72355   0.0018716
           5    -0.72768   -0.724376  0.00166963
           6    -0.71836   -0.723373  0.00166543
           7    -0.71376      -0.722  0.00191165
           8    -0.71336    -0.72092   0.0019541
           9    -0.72052   -0.720876  0.00173748
          10    -0.71772    -0.72056  0.00159213
          11     -0.7228   -0.720764  0.00146036
          12    -0.72304   -0.720953  0.00135092
          13    -0.71472   -0.720474  0.00132938
          14     -0.7214    -0.72054  0.00123607
          15    -0.72324    -0.72072   0.0011667
          16     -0.7178   -0.720537  0.00110796
          17    -0.71524   -0.720226  0.00108572
          18    -0.71668   -0.720029  0.00104312
          19      -0.719   -0.719975 0.000989627
          20    -0.72396   -0.720174 0.000959997
# Temperatura= 1.2
           1     -0.6706     -0.6706           0
           2    -0.68876    -0.67968  0.00642053
           3     -0.6832   -0.680853  0.00438625
           4    -0.68012    -0.68067  0.00329352
           5    -0.69148   -0.682832  0.00326828
           6    -0.68256   -0.682787  0.00272388
           7    -0.68712   -0.683406  0.00240407
           8    -0.68152    -0.68317  0.00211509
           9    -0.67792   -0.682587  0.00195887
          10    -0.68448   -0.682776  0.00177211
          11    -0.68492   -0.682971  0.00162169
          12    -0.68752    -0.68335  0.00153022
          13    -0.68256   -0.683289  0.00141371
          14    -0.67764   -0.682886  0.00136911
          15    -0.68212   -0.682835  0.00127879
          16     -0.6836   -0.682882  0.00119976
          17     -0.6796   -0.682689  0.00114462
          18    -0.67816   -0.682438  0.00110834
          19    -0.67932   -0.682274  0.00106208
          20    -0.68652   -0.682486  0.00102998
# Temperatura= 1.3
           1    -0.64848    -0.64848           0
           2    -0.65164    -0.65006  0.00111723
           3    -0.65108     -0.6504 0.000794872
           4    -0.64676    -0.64949 0.000988167
           5    -0.64852   -0.649296 0.000809353
           6    -0.64892   -0.649233 0.000676883
           7      -0.648   -0.649057  0.00060268
           8    -0.65636    -0.64997  0.00100361
           9     -0.6436   -0.649262  0.00111406
          10    -0.64564     -0.6489  0.00105991
          11    -0.64744   -0.648767 0.000971825
          12    -0.65356   -0.649167 0.000969442
          13    -0.64656   -0.648966 0.000915371
          14    -0.64724   -0.648843 0.000858251
          15     -0.6412   -0.648333 0.000940193
          16    -0.64228   -0.647955 0.000954521
          17    -0.64716   -0.647908 0.000899518
          18    -0.64076   -0.647511 0.000933098
          19    -0.63776   -0.646998  0.00101536
          20    -0.64132   -0.646714   0.0010035
# Temperatura= 1.4
           1    -0.61492    -0.61492           0
           2    -0.61772    -0.61632 0.000989949
           3    -0.61288   -0.615173  0.00114548
           4    -0.61232    -0.61446  0.00105816
           5    -0.60976    -0.61352   0.0011931
           6    -0.61984   -0.614573  0.00138316
           7    -0.61856   -0.615143  0.00129753
           8    -0.61448    -0.61506  0.00113798
           9    -0.61104   -0.614613   0.0010957
          10    -0.61192   -0.614344  0.00101869
          11    -0.60916   -0.613873  0.00102934
          12    -0.61288    -0.61379 0.000946879
          13    -0.61528   -0.613905 0.000880952
          14    -0.61784   -0.614186 0.000861708
          15    -0.61844   -0.614469 0.000849654
          16    -0.60876   -0.614112 0.000868254
          17    -0.61628    -0.61424 0.000826489
          18    -0.61628   -0.614353 0.000788305
          19    -0.61992   -0.614646 0.000799408
          20    -0.61304   -0.614566 0.000763462
# Temperatura= 1.5
           1    -0.58448    -0.58448           0
           2      -0.583    -0.58374 0.000523259
           3    -0.58004   -0.582507  0.00106572
           4     -0.5862    -0.58343  0.00113061
           5    -0.58184   -0.583112 0.000948154
           6    -0.57788    -0.58224  0.00112159
           7    -0.57992   -0.581909  0.00100914
           8    -0.58532   -0.582335 0.000968915
           9    -0.58532   -0.582667 0.000916267
          10    -0.58804   -0.583204 0.000969477
          11    -0.58092   -0.582996 0.000903305
          12     -0.5728   -0.582147   0.0011608
          13    -0.57036    -0.58124  0.00138092
          14    -0.58604   -0.581583  0.00132416
          15    -0.58172   -0.581592  0.00123591
          16    -0.58004   -0.581495  0.00116247
          17    -0.58356   -0.581616  0.00110042
          18    -0.58812   -0.581978    0.001097
          19    -0.58836   -0.582314  0.00108947
          20    -0.58692   -0.582544  0.00105907
# Temperatura= 1.6
           1    -0.55528    -0.55528           0
           2    -0.55784    -0.55656 0.000905097
           3    -0.55476    -0.55596 0.000777232
           4    -0.55396    -0.55546 0.000726154
           5    -0.55628   -0.555624 0.000599157
           6    -0.55252   -0.555107  0.00068726
           7      -0.557   -0.555377 0.000640095
           8    -0.55172    -0.55492 0.000704663
           9    -0.55112   -0.554498 0.000742159
          10    -0.55044   -0.554092 0.000770933
          11    -0.54332   -0.553113  0.00116747
          12    -0.55396   -0.553183  0.00107231
          13    -0.55292   -0.553163 0.000990018
          14    -0.54968   -0.552914 0.000950049
          15     -0.5538   -0.552973 0.000888546
          16    -0.55248   -0.552943 0.000833546
          17    -0.55424   -0.553019 0.000788001
          18    -0.55144   -0.552931 0.000749089
          19     -0.5566   -0.553124  0.00073413
          20     -0.5558   -0.553258  0.00070951
# Temperatura= 1.7
           1    -0.53244    -0.53244           0
           2     -0.5262    -0.52932  0.00220617
           3    -0.53496     -0.5312   0.0021259
           4    -0.52832    -0.53048  0.00171202
           5    -0.53288    -0.53096  0.00143533
           6    -0.52596   -0.530127  0.00141752
           7    -0.53592   -0.530954  0.00143645
           8    -0.53108    -0.53097  0.00125698
           9    -0.53004   -0.530867  0.00112155
          10     -0.5308    -0.53086  0.00100942
          11    -0.52252   -0.530102  0.00116819
          12     -0.5272    -0.52986  0.00109558
          13     -0.5286   -0.529763  0.00101558
          14      -0.535   -0.530137  0.00100958
          15    -0.52592   -0.529856 0.000980643
          16    -0.53408    -0.53012 0.000954227
          17    -0.52732   -0.529955   0.0009122
          18    -0.52724   -0.529804 0.000873906
          19    -0.53372   -0.530011 0.000851864
          20     -0.5294    -0.52998 0.000809817
# Temperatura= 1.8
           1     -0.5072     -0.5072           0
           2    -0.50756    -0.50738 0.000127279
           3    -0.50272   -0.505827  0.00127113
           4    -0.49832    -0.50395  0.00188422
           5    -0.49912   -0.502984  0.00173744
           6    -0.50828   -0.503867  0.00165698
           7    -0.49976    -0.50328  0.00152058
           8    -0.50144    -0.50305  0.00134779
           9    -0.50416   -0.503173  0.00120367
          10    -0.51136   -0.503992  0.00133294
          11    -0.50512   -0.504095   0.0012157
          12    -0.50188    -0.50391  0.00112831
          13    -0.50116   -0.503698  0.00106116
          14    -0.50712   -0.503943  0.00101312
          15    -0.50628   -0.504099 0.000957485
          16    -0.50228   -0.503985 0.000904364
          17    -0.50468   -0.504026 0.000852089
          18    -0.50832   -0.504264 0.000837481
          19    -0.50924   -0.504526  0.00083334
          20    -0.50032   -0.504316 0.000817782
# Temperatura= 1.9
           1    -0.49068    -0.49068           0
           2    -0.48508    -0.48788   0.0019799
           3     -0.4772    -0.48432  0.00319238
           4    -0.47904      -0.483  0.00265319
           5    -0.48004   -0.482408   0.0021876
           6    -0.47912    -0.48186  0.00189039
           7     -0.4846   -0.482251  0.00166037
           8    -0.48584     -0.4827   0.0015122
           9     -0.4846   -0.482911  0.00135883
          10     -0.4806    -0.48268  0.00124245
          11     -0.4836   -0.482764  0.00113231
          12      -0.483   -0.482783  0.00103812
          13    -0.48772   -0.483163  0.00102537
          14    -0.48084   -0.482997 0.000965465
          15    -0.47996   -0.482795 0.000922087
          16    -0.48432    -0.48289 0.000869371
          17    -0.47504   -0.482428 0.000932838
          18    -0.47944   -0.482262 0.000895664
          19    -0.47928   -0.482105 0.000862167
          20    -0.48492   -0.482246 0.000830466
# Temperatura= 2
           1    -0.46044    -0.46044           0
           2    -0.45992    -0.46018 0.000183848
           3    -0.46224   -0.460867 0.000573902
           4    -0.45652    -0.45978  0.00103484
           5    -0.46548    -0.46092  0.00131341
           6    -0.46264   -0.461207  0.00112536
           7    -0.46268   -0.461417 0.000984081
           8    -0.46456    -0.46181 0.000936209
           9    -0.46268   -0.461907 0.000837162
          10    -0.45976   -0.461692 0.000780483
          11    -0.46064   -0.461596 0.000715365
          12    -0.46064   -0.461517 0.000660176
          13    -0.45788   -0.461237 0.000666031
          14    -0.46072     -0.4612  0.00061948
          15     -0.4578   -0.460973  0.00061826
          16    -0.45952   -0.460883 0.000586254
          17    -0.46264   -0.460986  0.00056081
          18    -0.46444   -0.461178 0.000561525
          19    -0.46156   -0.461198 0.000532332
          20    -0.46348   -0.461312   0.0005178
# Temperatura= 2.1
           1    -0.43776    -0.43776           0
           2    -0.45048    -0.44412   0.0044972
           3    -0.44552   -0.444587  0.00302225
           4      -0.444    -0.44444  0.00227024
           5    -0.44412   -0.444376   0.0018171
           6    -0.44488    -0.44446  0.00151619
           7    -0.44632   -0.444726  0.00132267
           8    -0.44024   -0.444165  0.00127064
           9    -0.44544   -0.444307  0.00113733
          10    -0.44484    -0.44436  0.00102484
          11     -0.4466   -0.444564 0.000951692
          12    -0.44452    -0.44456 0.000872391
          13    -0.43884    -0.44412   0.0009095
          14    -0.44668   -0.444303 0.000862722
          15    -0.43992   -0.444011 0.000853254
          16    -0.44572   -0.444118 0.000806586
          17    -0.44944   -0.444431  0.00081765
          18    -0.44452   -0.444436  0.00077224
          19    -0.44192   -0.444303 0.000742859
          20    -0.44476   -0.444326 0.000706067
# Temperatura= 2.2
           1    -0.42512    -0.42512           0
           2    -0.42388     -0.4245 0.000438406
           3    -0.42556   -0.424853 0.000410672
           4    -0.42444    -0.42475 0.000320741
           5    -0.42768   -0.425336 0.000583572
           6     -0.4218   -0.424747 0.000725208
           7    -0.42716   -0.425091 0.000698767
           8    -0.42268    -0.42479 0.000673303
           9    -0.42248   -0.424533 0.000645562
          10    -0.42468   -0.424548 0.000581173
          11    -0.43068   -0.425105 0.000749431
          12    -0.42484   -0.425083 0.000687305
          13    -0.42544   -0.425111 0.000634983
          14    -0.43444   -0.425777 0.000871777
          15    -0.42368   -0.425637 0.000824793
          16    -0.42464   -0.425575 0.000775596
          17    -0.43036   -0.425856 0.000779375
          18     -0.4184   -0.425442 0.000838973
          19     -0.4328   -0.425829 0.000879662
          20     -0.4214   -0.425608 0.000863109
# Temperatura= 2.3
           1    -0.41264    -0.41264           0
           2    -0.40492    -0.40878  0.00272943
           3    -0.41208    -0.40988  0.00202921
           4     -0.4064    -0.40901   0.0016982
           5    -0.41332   -0.409872  0.00156209
           6    -0.41212   -0.410247  0.00134592
           7      -0.406    -0.40964  0.00128311
           8    -0.40268    -0.40877  0.00138665
           9    -0.40692   -0.408564  0.00124772
          10    -0.41392     -0.4091  0.00123254
          11    -0.41808   -0.409916  0.00136431
          12    -0.41568   -0.410397  0.00133249
          13    -0.41068   -0.410418  0.00123017
          14    -0.40696   -0.410171  0.00116684
          15     -0.4104   -0.410187  0.00108915
          16      -0.404     -0.4098  0.00108755
          17    -0.40748   -0.409664   0.0010321
          18    -0.41328   -0.409864 0.000994127
          19    -0.40776   -0.409754 0.000947954
          20    -0.41048    -0.40979 0.000901252
# Temperatura= 2.4
           1    -0.39852    -0.39852           0
           2    -0.39676    -0.39764 0.000622254
           3    -0.39104    -0.39544  0.00184357
           4    -0.39036    -0.39417  0.00176677
           5    -0.39636   -0.394608   0.0014667
           6    -0.39416   -0.394533  0.00122415
           7    -0.39424   -0.394491  0.00104999
           8    -0.39676   -0.394775 0.000956267
           9    -0.39628   -0.394942 0.000864513
          10    -0.39032    -0.39448  0.00089312
