#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6442      1.6442           0
           2     1.67068     1.65744  0.00936123
           3      1.6557     1.65686  0.00625877
           4     1.65226     1.65571  0.00479853
           5     1.66113     1.65679   0.0039591
           6     1.65196     1.65599  0.00338021
           7     1.66862     1.65779  0.00334447
           8      1.6682     1.65909  0.00316953
           9     1.62002     1.65475   0.0049694
          10     1.64332     1.65361  0.00460204
          11     1.63765     1.65216  0.00440633
          12     1.63977     1.65113  0.00415825
          13     1.65856      1.6517  0.00387751
          14      1.6396     1.65084  0.00369555
          15     1.67058     1.65215  0.00367607
          16     1.64723     1.65184  0.00345918
          17     1.67583     1.65325  0.00353167
          18     1.65005     1.65308  0.00333995
          19      1.6475     1.65278  0.00317703
          20     1.64238     1.65226  0.00306049
