#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43653    -5.43653           0
           2     -5.4618    -5.44916  0.00893184
           3    -5.44653    -5.44829  0.00599761
           4    -5.44333    -5.44705  0.00462423
           5    -5.45474    -5.44859  0.00394677
           6    -5.44394    -5.44781  0.00336409
           7    -5.45992    -5.44954  0.00329825
           8     -5.4594    -5.45077  0.00310749
           9    -5.41074    -5.44632  0.00502147
          10    -5.43537    -5.44523  0.00463735
          11     -5.4292    -5.44377  0.00443873
          12    -5.43105    -5.44271  0.00419361
          13    -5.45051    -5.44331   0.0039137
          14    -5.43214    -5.44251  0.00371457
          15    -5.46166    -5.44379  0.00367977
          16    -5.43776    -5.44341  0.00346906
          17    -5.46771    -5.44484   0.0035472
          18    -5.44133    -5.44465  0.00335551
          19    -5.43939    -5.44437  0.00319028
          20     -5.4326    -5.44378  0.00308455
