#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.55938     1.55938           0
           2     1.47518     1.51728   0.0297672
           3     1.60348     1.54601   0.0307278
           4     1.60431     1.56059   0.0262754
           5     1.39136     1.52674   0.0368538
           6      1.4998     1.52225   0.0309838
           7     1.44864     1.51173    0.028286
           8     1.51733     1.51243   0.0247589
           9     1.61863     1.52423   0.0246598
          10     1.57763     1.52957   0.0227646
          11     1.55758     1.53212    0.020837
          12     1.49114      1.5287   0.0193785
          13     1.48139     1.52507   0.0182264
          14     1.58754     1.52953   0.0174623
          15     1.43831     1.52345   0.0173246
          16     1.51195     1.52273   0.0162568
          17     1.40455     1.51578   0.0167209
          18     1.52555     1.51632   0.0158008
          19     1.45972     1.51334   0.0152474
          20     1.61142     1.51824   0.0152533
