#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09614     1.09614           0
           2     1.11379     1.10496  0.00624082
           3      1.1038     1.10457  0.00417252
           4     1.10151     1.10381  0.00319902
           5     1.10742     1.10453   0.0026394
           6     1.10131     1.10399  0.00225347
           7     1.11241      1.1052  0.00222964
           8     1.11214     1.10606  0.00211302
           9     1.08001     1.10317  0.00331293
          10     1.09555     1.10241  0.00306803
          11     1.09177     1.10144  0.00293755
          12     1.09318     1.10075  0.00277217
          13     1.10571     1.10113  0.00258501
          14     1.09307     1.10056   0.0024637
          15     1.11372     1.10143  0.00245071
          16     1.09815     1.10123  0.00230612
          17     1.11722     1.10217  0.00235445
          18     1.10003     1.10205  0.00222663
          19     1.09833     1.10185  0.00211802
          20     1.09492     1.10151  0.00204032
