#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.79233    -3.79233           0
           2    -3.79112    -3.79172  0.00042939
           3    -3.79083    -3.79143 0.000375852
           4    -3.79107    -3.79134 0.000292078
           5    -3.79361    -3.79179 0.000469195
           6    -3.79198    -3.79182 0.000392029
           7     -3.7913    -3.79175 0.000343121
           8    -3.79119    -3.79168 0.000307219
           9    -3.79072    -3.79157 0.000290787
          10    -3.79204    -3.79162 0.000265516
          11    -3.79155    -3.79161 0.000241456
          12    -3.79127    -3.79158 0.000222999
          13    -3.79195    -3.79161 0.000207599
          14    -3.79254    -3.79168 0.000203058
          15    -3.79109    -3.79164 0.000193322
          16    -3.79053    -3.79157 0.000193262
          17    -3.79188    -3.79159 0.000182774
          18    -3.79128    -3.79157 0.000173431
          19    -3.79189    -3.79159 0.000165126
          20    -3.79023    -3.79152  0.00017034
