#   N_BLOCK:  ACCEPTANCE:
           1     0.50245
           2    0.502431
           3     0.50263
           4    0.502859
           5    0.502634
           6    0.502754
           7    0.502913
           8    0.502872
           9     0.50279
          10    0.502695
          11    0.502599
          12    0.502517
          13    0.502404
          14    0.502273
          15    0.502198
          16    0.502197
          17    0.502075
          18    0.502003
          19    0.501974
          20    0.501869
