#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46803    -5.46803           0
           2    -5.45711    -5.46257  0.00386026
           3    -5.46613    -5.46376  0.00274951
           4    -5.48712     -5.4696  0.00546184
           5    -5.46211     -5.4681  0.00457034
           6      -5.475    -5.46925  0.00395083
           7    -5.46044    -5.46799  0.00358111
           8    -5.46469    -5.46758  0.00315714
           9    -5.45303    -5.46596  0.00319366
          10    -5.46548    -5.46591  0.00287466
          11    -5.47212    -5.46648  0.00266812
          12     -5.4534    -5.46539  0.00265914
          13    -5.45871    -5.46487  0.00250378
          14    -5.44465    -5.46343   0.0027097
          15     -5.4515    -5.46263  0.00264324
          16    -5.45699    -5.46228  0.00250146
          17     -5.4522    -5.46169  0.00242356
          18    -5.44165    -5.46058  0.00253181
          19    -5.46191    -5.46065  0.00239953
          20    -5.44548    -5.45989  0.00239644
