#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.41052     1.41052           0
           2     1.46194     1.43623    0.018182
           3     1.38987     1.42078   0.0174965
           4     1.30509     1.39186   0.0282758
           5     1.42593     1.39867   0.0234274
           6     1.35304     1.39107   0.0207207
           7     1.40103     1.39249   0.0178094
           8     1.38861       1.392   0.0155898
           9     1.47364     1.40108   0.0162841
          10     1.42976     1.40394   0.0149062
          11     1.38953     1.40263   0.0136085
          12     1.44911     1.40651   0.0130139
          13     1.43572     1.40875   0.0122053
          14     1.53891     1.41805   0.0144467
          15     1.47736       1.422   0.0140142
          16     1.44421     1.42339   0.0132069
          17      1.4659     1.42589   0.0126645
          18      1.4997     1.42999   0.0126072
          19     1.42334     1.42964   0.0119485
          20     1.52128     1.43422    0.012198
