#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.81803    -3.81803           0
           2    -3.80711    -3.81257  0.00386026
           3    -3.81613    -3.81376  0.00274951
           4    -3.83712     -3.8196  0.00546184
           5    -3.81211     -3.8181  0.00457034
           6      -3.825    -3.81925  0.00395083
           7    -3.81044    -3.81799  0.00358111
           8    -3.81469    -3.81758  0.00315714
           9    -3.80303    -3.81596  0.00319366
          10    -3.81548    -3.81591  0.00287466
          11    -3.82212    -3.81648  0.00266812
          12     -3.8034    -3.81539  0.00265914
          13    -3.80871    -3.81487  0.00250378
          14    -3.79465    -3.81343   0.0027097
          15     -3.8015    -3.81263  0.00264324
          16    -3.80699    -3.81228  0.00250146
          17     -3.8022    -3.81169  0.00242356
          18    -3.79165    -3.81058  0.00253181
          19    -3.81191    -3.81065  0.00239953
          20    -3.79548    -3.80989  0.00239644
