#   N_BLOCK:  ACCEPTANCE:
           1      0.6108
           2      0.6123
           3    0.614467
           4    0.614375
           5      0.6143
           6    0.613733
           7    0.612057
           8    0.611712
           9    0.612156
          10     0.61209
          11    0.611845
          12    0.612025
          13      0.6112
          14    0.610993
          15    0.611013
          16    0.610994
          17    0.611288
          18    0.611617
          19    0.611805
          20    0.612055
          21    0.612119
          22    0.611968
          23    0.611704
          24    0.611546
          25    0.611676
          26    0.611592
          27    0.611848
          28    0.611711
          29    0.611707
          30    0.611397
          31    0.611258
          32    0.611206
          33    0.611261
          34    0.611276
          35    0.611557
          36    0.611358
          37    0.611489
          38    0.611582
          39    0.611487
          40    0.611425
          41    0.611354
          42    0.611398
          43    0.611393
          44    0.611393
          45    0.611358
          46    0.611461
          47    0.611617
          48    0.611515
          49    0.611461
          50    0.611414
