#     BLOCK:   ACTUAL_H:     H_AVE:       ERROR:
           1   -0.447727   -0.447727           0
           2   -0.438072   -0.442899  0.00341364
           3   -0.457469   -0.447756  0.00457201
           4    -0.45424   -0.449377  0.00370525
           5   -0.439583   -0.447418  0.00344322
           6   -0.454998   -0.448681  0.00309242
           7   -0.445942    -0.44829  0.00267529
           8   -0.446919   -0.448119  0.00234637
           9   -0.435575   -0.446725  0.00246507
          10   -0.443568   -0.446409  0.00223869
          11   -0.453357   -0.447041   0.0021224
          12   -0.458325   -0.447981  0.00214376
          13   -0.440877   -0.447435  0.00204734
          14   -0.434691   -0.446524   0.0020937
          15   -0.439473   -0.446054   0.0020062
          16   -0.429795   -0.445038  0.00212264
          17   -0.452476   -0.445476  0.00204238
          18   -0.461157   -0.446347  0.00210655
          19   -0.434848   -0.445742  0.00208079
          20   -0.436256   -0.445267  0.00203008
          21   -0.438133   -0.444928  0.00196164
          22   -0.444407   -0.444904  0.00187262
          23   -0.433044   -0.444388  0.00186084
          24   -0.439943   -0.444203   0.0017925
          25   -0.451717   -0.444504  0.00174582
          26   -0.442425   -0.444424   0.0016805
          27   -0.454133   -0.444783  0.00165629
          28   -0.438186   -0.444548   0.0016138
          29   -0.431188   -0.444087  0.00162257
          30   -0.450085   -0.444287  0.00158076
          31   -0.437097   -0.444055  0.00154669
          32   -0.447793   -0.444172  0.00150276
          33   -0.442853   -0.444132  0.00145775
          34   -0.451603   -0.444352  0.00143134
          35   -0.451665   -0.444561  0.00140561
          36   -0.444041   -0.444546  0.00136664
          37   -0.452544   -0.444762  0.00134669
          38    -0.45172   -0.444945  0.00132364
          39   -0.459675   -0.445323   0.0013425
          40   -0.442821   -0.445261   0.0013104
          41   -0.451524   -0.445413  0.00128731
          42   -0.446398   -0.445437  0.00125688
          43   -0.434704   -0.445187  0.00125219
          44   -0.454627   -0.445402  0.00124197
          45   -0.450976   -0.445526  0.00122053
          46   -0.443839   -0.445489  0.00119455
          47   -0.436691   -0.445302  0.00118371
          48   -0.440819   -0.445208  0.00116273
          49   -0.452748   -0.445362  0.00114914
          50   -0.457722   -0.445609  0.00115244
