# SAstep                 <H>               error
1           -0.252501          0.00575015
2           -0.191583          0.00971746
3           -0.245019          0.00557798
4            -0.27261          0.00545799
5           -0.298927          0.00537715
6           -0.325053          0.00626991
7           -0.289586           0.0042765
8           -0.299501          0.00508103
9           -0.311424          0.00575047
10           -0.356701          0.00520457
11            -0.35795          0.00575295
12           -0.359856          0.00374361
13           -0.346085          0.00593804
14            -0.29114          0.00730636
15           -0.291599          0.00718116
16           -0.262271          0.00741134
17           -0.207181          0.00725361
18           -0.115775           0.0075512
19            -0.22554          0.00665327
20            -0.23812          0.00690689
21           -0.301132          0.00445106
22           -0.357957          0.00457069
23           -0.354124          0.00413579
24           -0.377438          0.00360522
25           -0.399029          0.00482409
26           -0.414621          0.00442039
27           -0.397946          0.00599336
28           -0.412392          0.00649399
29           -0.435885          0.00437901
30           -0.419374          0.00786112
31           -0.357063          0.00756565
32           -0.357029           0.0100514
33           -0.384415          0.00749598
34           -0.405051          0.00455465
35           -0.398723           0.0041551
36           -0.394647          0.00742967
37           -0.347676          0.00310317
38           -0.346352           0.0042414
39           -0.394673          0.00374264
40           -0.413986          0.00406894
41           -0.417949           0.0032497
42           -0.425106          0.00441108
43           -0.383333          0.00629924
44           -0.371411          0.00860028
45            -0.38404           0.0066373
46           -0.370458           0.0098485
47           -0.386361          0.00911502
48            -0.39687          0.00875867
49           -0.434878          0.00512793
50           -0.440517          0.00323599
51            -0.43328          0.00438892
52           -0.415714          0.00600294
53           -0.440471          0.00447834
54           -0.440071          0.00359904
55           -0.445738          0.00442892
56           -0.434518          0.00382762
57           -0.442423          0.00326166
58           -0.444683          0.00388365
59           -0.426138           0.0064947
60            -0.41943          0.00490524
61           -0.384011          0.00738247
62           -0.404804          0.00636223
63           -0.413362          0.00422043
64           -0.417479           0.0041904
65           -0.358615          0.00566531
66           -0.329493          0.00791121
67           -0.370374          0.00608415
68            -0.42105          0.00447375
69           -0.396129          0.00375786
70           -0.368616          0.00502741
71           -0.374775          0.00319252
72           -0.333658          0.00638461
73           -0.309708          0.00565241
74           -0.310463          0.00561195
75           -0.352703          0.00454512
76           -0.339133          0.00560464
77            -0.30332          0.00580024
78            -0.35595          0.00485968
79           -0.297177           0.0070353
80           -0.297104          0.00641407
81           -0.349386          0.00872593
82           -0.295815          0.00774198
83           -0.336384          0.00784647
84           -0.214366          0.00847988
85          -0.0938993           0.0141065
86            0.095709           0.0163406
87          -0.0607884           0.0157168
88          0.00802853           0.0142398
89          -0.0678557           0.0116783
90            0.131776           0.0222475
91            0.435986           0.0232036
92            0.704353           0.0333169
93            0.190136           0.0162234
94          -0.0582362           0.0175116
95          -0.0337319           0.0120973
96           -0.159765           0.0103693
97          -0.0357928           0.0125675
98          -0.0889611           0.0119369
99           -0.100684            0.015233
100            0.124203           0.0209914
101            0.109503           0.0186164
102            0.472735            0.028695
103            0.495262           0.0238443
104            0.251992           0.0167699
105             0.69243           0.0292675
106            0.402105            0.024089
107            0.184975           0.0183349
108           0.0473328            0.016002
109           0.0560005           0.0197246
110            0.529279            0.024626
111            0.539415           0.0295813
112            0.861913            0.045864
113            0.706717           0.0312975
114            0.703808           0.0349293
115             0.96807           0.0357757
116              1.0279           0.0250689
117            0.388536           0.0291727
118            0.128684            0.018301
119            0.572661           0.0230586
120            0.503777           0.0226243
121            0.103192           0.0202165
122            0.574308           0.0251003
123            0.167692           0.0212185
124           0.0149412           0.0108401
125           0.0550242           0.0196756
126          -0.0342419           0.0181879
127            0.182851            0.021568
128          -0.0618174           0.0198484
129            0.286061           0.0260282
130            0.694334           0.0352795
131            0.900955           0.0261948
132            0.994629           0.0346137
133            0.753862           0.0375695
134            0.307112           0.0207616
135            0.393442           0.0348851
136            0.195128           0.0212069
137            0.556413           0.0322056
138            0.600928           0.0329287
139            0.321737           0.0261476
140          0.00331855           0.0104041
141            0.386664           0.0231596
142            0.398979           0.0236341
143            0.180479           0.0210715
144           0.0438221           0.0119829
145            0.091779           0.0113463
146          -0.0451688           0.0119887
147          -0.0340379          0.00962624
148           -0.100871            0.011017
149           -0.164147           0.0109398
150           -0.251219          0.00682717
151           -0.208462          0.00662607
152           -0.259566          0.00633234
153           -0.206772          0.00748724
154           -0.211172          0.00914212
155            -0.24239          0.00565003
156           -0.253734          0.00844315
157           -0.171791          0.00782273
158           -0.209826           0.0076427
159           -0.199901          0.00664866
160           -0.224046          0.00554684
161           -0.236967            0.006294
162           -0.309154          0.00440009
163           -0.354431          0.00505177
164            -0.31342          0.00565571
165           -0.314088          0.00572871
166           -0.312175          0.00487581
167           -0.337691          0.00619229
168           -0.333682           0.0047278
169           -0.345433          0.00844277
170           -0.303571           0.0133771
171            -0.28083           0.0169606
172           -0.343008           0.0118826
173           -0.352826           0.0112452
174           -0.368429          0.00907287
175           -0.367482          0.00578719
176           -0.355779          0.00824492
177            -0.38903          0.00658776
178           -0.362107          0.00607548
179           -0.393598          0.00677015
180           -0.390052          0.00410465
181            -0.41755          0.00356803
182           -0.435616          0.00303256
183           -0.424382          0.00355084
184           -0.421075          0.00457233
185           -0.399955          0.00511287
186           -0.321963          0.00660137
187           -0.266716           0.0092874
188           -0.294339          0.00630287
189           -0.298147          0.00641315
190           -0.321087          0.00436257
191           -0.360344          0.00466502
192           -0.355715          0.00453017
193           -0.359742          0.00474397
194           -0.360343          0.00443406
195           -0.313996          0.00407995
196           -0.316271          0.00650509
197           -0.283527          0.00718663
198           -0.346538          0.00653356
199           -0.326997          0.00642866
200           -0.336999          0.00845092
201           -0.402719          0.00581269
202            -0.40012          0.00499729
203           -0.411842          0.00491342
204            -0.41389          0.00499226
205           -0.351549           0.0087065
206           -0.378209          0.00628612
207            -0.33962          0.00620629
208           -0.427918          0.00305329
209           -0.411451          0.00579911
210           -0.420279          0.00500058
211           -0.434561          0.00449175
212           -0.434838          0.00558198
213           -0.438293          0.00512185
214           -0.438946          0.00422376
215           -0.435506          0.00238782
216           -0.447523          0.00307279
217           -0.432027          0.00569533
218           -0.420344          0.00430189
219           -0.391958          0.00613504
220            -0.34796          0.00608855
221           -0.332443          0.00588349
222           -0.392375          0.00468681
223           -0.400266          0.00540578
224           -0.403285          0.00547362
225           -0.421105          0.00529888
226           -0.323141           0.0100558
227           -0.355177           0.0064202
228           -0.351095          0.00513614
229           -0.330041          0.00855877
230            -0.23168          0.00913428
231          -0.0364235           0.0151984
232           -0.190422           0.0143675
233           -0.137095           0.0125378
234           -0.194689           0.0107195
235           -0.189356           0.0132827
236           -0.244528           0.0116573
237           -0.161371           0.0165543
238           -0.238074          0.00971807
239           -0.307645          0.00983463
240           -0.150976            0.015056
241           -0.349208          0.00657458
242           -0.362723            0.004526
243           -0.374273          0.00829345
244           -0.413274          0.00517508
245           -0.433698           0.0029935
246            -0.42684          0.00293256
247           -0.405054          0.00401913
248            -0.41173          0.00502819
249           -0.416183          0.00612349
250           -0.419584          0.00463796
251            -0.41143          0.00811231
252           -0.397154          0.00663031
253           -0.437212          0.00384801
254           -0.426647          0.00422463
255           -0.397214          0.00644968
256            -0.35721          0.00616556
257           -0.399954          0.00447014
258           -0.369877          0.00656584
259           -0.381568          0.00771827
260           -0.368467          0.00846433
261           -0.370554          0.00531061
262           -0.339641           0.0059634
263           -0.360167           0.0103359
264           -0.378553          0.00597376
265           -0.374912          0.00584334
266           -0.389254          0.00737228
267           -0.401341          0.00590836
268           -0.393695          0.00385351
269           -0.367191          0.00400058
270           -0.365291          0.00683014
271           -0.390544           0.0043649
272           -0.395749          0.00391105
273           -0.379503          0.00464199
274           -0.393937          0.00357298
275           -0.352314          0.00571664
276           -0.351749          0.00560884
277            -0.38277          0.00495566
278           -0.375159          0.00609164
279           -0.370194          0.00480314
280            -0.37373          0.00728245
281           -0.407714          0.00663483
282           -0.388883          0.00675706
283           -0.393969          0.00696604
284           -0.391919          0.00433664
285           -0.425825          0.00377395
286            -0.42967          0.00451376
287           -0.430194          0.00509556
288           -0.438323          0.00354138
289           -0.429883          0.00293677
290           -0.431331          0.00354057
291           -0.434501          0.00470055
292           -0.433319           0.0043187
293           -0.407697           0.0037246
294           -0.389713           0.0063457
295           -0.431236          0.00478191
296           -0.440821          0.00223833
297           -0.403659          0.00358095
298           -0.411708          0.00431352
299           -0.376603          0.00416949
300           -0.350615          0.00392674
301           -0.318076          0.00588227
302           -0.328869          0.00783511
303           -0.363995          0.00643406
304           -0.262227           0.0119706
305           -0.258995           0.0110493
306           -0.277966           0.0102962
307           -0.251492           0.0111474
308           -0.338565          0.00829382
309           -0.413618          0.00578682
310           -0.410899          0.00596351
311           -0.438705          0.00283903
312           -0.435886          0.00455852
313           -0.431698          0.00394263
314           -0.443707          0.00249267
315           -0.439119          0.00398012
316           -0.425922          0.00468633
317           -0.409835          0.00664964
318           -0.436066          0.00460099
319           -0.438724          0.00263921
320           -0.440377          0.00364401
321           -0.425881          0.00534844
322           -0.429117          0.00297975
323           -0.430581          0.00446756
324           -0.407525          0.00293229
325            -0.39494          0.00543155
326           -0.385178          0.00698098
327            -0.40573           0.0066794
328           -0.420368          0.00478876
329           -0.385438           0.0106574
330           -0.414555          0.00545098
331           -0.380228          0.00436281
332           -0.408391          0.00434296
333           -0.416229          0.00371595
334           -0.400452          0.00564893
335           -0.413319          0.00438502
336           -0.367092          0.00917547
337           -0.407334          0.00794064
338           -0.331296           0.0126853
339           -0.385055          0.00652136
340           -0.416175          0.00498811
341           -0.436227          0.00390537
342           -0.439389          0.00436673
343           -0.446477          0.00379687
344           -0.437012          0.00479574
345           -0.436715          0.00493699
