#mu               sigma
0.5            0.723477
0.457654              0.6883
0.484757            0.736708
0.533711            0.698275
0.551934            0.714004
0.597156            0.682884
0.565258            0.657862
0.589074            0.614824
0.601532            0.603221
0.631933            0.615359
0.630106            0.654533
0.630443             0.65181
0.608157            0.666614
0.570426            0.656409
0.560793            0.660097
0.546299            0.643651
0.504447            0.613643
0.48485             0.56835
0.527202            0.602279
0.548741            0.578422
0.590014            0.618213
0.639396            0.625372
0.630499            0.598805
0.659088            0.627266
0.69137            0.663346
0.710068            0.669259
0.707289            0.693913
0.713277            0.670594
0.757391            0.647039
0.783629            0.687486
0.811234            0.727362
0.785956            0.749207
0.737126            0.718597
0.716011            0.682622
0.684121            0.639176
0.679185            0.660771
0.629403            0.646609
0.634238            0.611419
0.677483            0.628659
0.715442            0.664835
0.713264            0.646748
0.734138            0.671996
0.705254            0.713576
0.735281            0.734248
0.730838            0.731955
0.776384            0.751039
0.807008            0.722072
0.82408            0.695474
0.796087            0.653159
0.822642            0.607439
0.856364            0.607451
0.877981            0.625625
0.844421            0.615672
0.802431             0.59163
0.779012            0.604721
0.791074            0.577718
0.799964            0.626838
0.819724            0.612832
0.785166            0.662504
0.780382            0.687502
0.754268            0.722732
0.720166            0.681283
0.700235            0.637994
0.715099            0.592469
0.687266            0.555808
0.658123            0.535476
0.690292            0.553923
0.736194             0.57548
0.687707            0.597907
0.654561            0.611493
0.662905             0.59162
0.622927            0.608331
0.595253            0.622152
0.58822            0.623467
0.63369            0.654028
0.616478            0.633245
0.593779            0.597628
0.64376            0.581248
0.631325            0.536923
0.656895            0.518429
0.668559            0.538712
0.67079            0.508713
0.682652            0.519331
0.638588            0.485673
0.637247             0.44921
0.620319            0.408443
0.631132            0.438438
0.678751             0.42852
0.693651            0.444619
0.692398             0.41527
0.669521            0.377006
0.711258            0.356364
0.736883            0.404625
0.687159            0.441442
0.676875            0.428707
0.631026             0.46745
0.598729            0.435113
0.626433            0.443814
0.673428            0.448936
0.68745            0.418887
0.68745            0.418887
0.695734             0.37748
0.671             0.37037
0.626175            0.394356
0.62813             0.35537
0.596304            0.373681
0.644598            0.400075
0.67931            0.421193
0.708394            0.420461
0.746726             0.37578
0.715061            0.373188
0.727327            0.350922
0.722642            0.361141
0.684323             0.35112
0.654504            0.333675
0.692809            0.331843
0.646682            0.379415
0.675512            0.407124
0.649264            0.369787
0.669696            0.368504
0.687624             0.41728
0.644653            0.368382
0.633472             0.40533
0.668893            0.431258
0.685573            0.423794
0.656179            0.425778
0.62047            0.398524
0.63181            0.438497
0.66061            0.392991
0.675396            0.356178
0.680712            0.342843
0.692722            0.334385
0.686435            0.354774
0.708651             0.39213
0.704097            0.389234
0.661888            0.398479
0.632329            0.368144
0.651654            0.360288
0.604379            0.384971
0.573966            0.428857
0.619772             0.38071
0.572077            0.371728
0.532993            0.395962
0.516874            0.429606
0.482744            0.416728
0.519954            0.457333
0.492141            0.495372
0.524512             0.47693
0.537446            0.507878
0.584703            0.532458
0.547062             0.54622
0.596472            0.536335
0.567645            0.522746
0.607436            0.487515
0.585675            0.527885
0.598321            0.530331
0.578376            0.487012
0.558157            0.529627
0.571075            0.505259
0.562925            0.535178
0.55687            0.583178
0.603097            0.593135
0.62691            0.634658
0.582079            0.669896
0.587776            0.710708
0.573253            0.705908
0.620014            0.738397
0.622849            0.772468
0.670291            0.793206
0.702913            0.833056
0.695573            0.798199
0.675871            0.764352
0.711353            0.752991
0.733564            0.749391
0.711367            0.740976
0.662341            0.722487
0.697404             0.70736
0.672131            0.740687
0.719042            0.700983
0.678323             0.67249
0.703833            0.624846
0.738262            0.619988
0.725849            0.601498
0.717385            0.591417
0.688767            0.581054
0.647946            0.538861
0.602875            0.523372
0.630614            0.530806
0.640912            0.531364
0.679639            0.521231
0.662486            0.562949
0.644232            0.597617
0.640464            0.598501
0.640464            0.598501
0.611702            0.579902
0.650885            0.534061
0.61744            0.526386
0.664117            0.543285
0.696143            0.516202
0.734522            0.516382
0.728529            0.553192
0.746696            0.553808
0.784523             0.55823
0.778763             0.56387
0.816702            0.526452
0.836669            0.535831
0.876431            0.530699
0.837765            0.576597
0.841268            0.567664
0.878287            0.616619
0.838618            0.621483
0.80987            0.629324
0.778449            0.629084
0.816745            0.588518
0.803735            0.591361
0.79369            0.607086
0.839389             0.62724
0.873683             0.59966
0.889151            0.574722
0.919401            0.554548
0.963901            0.582044
0.915941            0.602734
0.867476            0.567742
0.825811            0.552997
0.83338             0.55871
0.788991            0.511061
0.756859            0.527951
0.72167            0.529711
0.683872            0.518726
0.673436            0.480241
0.703624            0.440412
0.675106            0.465689
0.674614            0.458125
0.669378            0.472327
0.684175            0.463307
0.719272            0.485713
0.751793            0.461706
0.74497            0.483031
0.752991              0.5019
0.789129            0.464854
0.741368            0.513411
